fiscal_year,base_year,state,constant_prices,current_prices,unit
2023-24,2011-12,Puducherry,2425233.00,4191299.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Punjab,44888917.00,70376504.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Rajasthan,77331512.00,141697283.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Sikkim,2383310.00,4646289.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Tamil Nadu,138643345.00,247274869.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Telangana,69809385.00,134889433.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Tripura,4389040.00,7576529.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Uttar Pradesh,138283262.00,241246439.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,Uttarakhand,19026042.00,30693924.00,"constant_prices, current_prices in rupees lakh"
2023-24,2011-12,West Bengal,87073511.00,156035770.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Andaman and Nicobar Islands,718496.00,1105445.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Andhra Pradesh,68876942.00,122717813.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Arunachal Pradesh,1766902.00,3274405.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Assam,26714263.00,44673721.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Bihar,43286235.00,75681254.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Chandigarh,3209098.00,5172853.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Chhattisgarh,26929485.00,43369508.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Delhi,53719119.00,88523337.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Goa,5404553.00,8567864.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Gujarat,121204442.00,191417665.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Haryana,52190940.00,86719902.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Himachal Pradesh,12235995.00,17984013.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Jammu and Kashmir,11369666.00,19643498.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Jharkhand,24014570.00,38061113.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Karnataka,123442940.00,212698516.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Kerala,53432131.00,92846959.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Ladakh,,590375.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Madhya Pradesh,59271520.00,117206181.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Maharashtra,201262541.00,320191123.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Manipur,2008455.00,3672438.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Meghalaya,2489804.00,4297193.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Mizoram,1851707.00,2903930.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Nagaland,1784213.00,3421849.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Odisha,40720738.00,63256660.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Puducherry,2256448.00,3793909.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Punjab,42466102.00,63815574.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Rajasthan,72688717.00,127518911.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Sikkim,2196266.00,4051986.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Tamil Nadu,127274984.00,218430223.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Telangana,65272786.00,120316085.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Tripura,4095875.00,6802307.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Uttar Pradesh,126993613.00,213599624.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,Uttarakhand,17666281.00,27185184.00,"constant_prices, current_prices in rupees lakh"
2022-23,2011-12,West Bengal,81944985.00,142985137.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Andaman and Nicobar Islands,657186.00,966861.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Andhra Pradesh,64759011.00,106240055.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Arunachal Pradesh,1727775.00,3063575.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Assam,23554862.00,37884079.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Bihar,38280039.00,64110677.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Chandigarh,2877304.00,4292823.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Chhattisgarh,25204843.00,39072550.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Delhi,49616225.00,76640092.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Goa,4873429.00,7327802.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Gujarat,115135573.00,169298947.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Haryana,49676077.00,76813062.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Himachal Pradesh,11417573.00,15920876.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Jammu and Kashmir,10702130.00,17626985.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Jharkhand,22457346.00,34851145.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Karnataka,111551690.00,183899139.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Kerala,50099348.00,82303202.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Madhya Pradesh,55892512.00,105741532.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Maharashtra,185366109.00,279226616.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Manipur,1898577.00,3347071.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Meghalaya,2282881.00,3708849.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Mizoram,1684557.00,2587894.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Nagaland,1749080.00,3095613.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Odisha,40798731.00,61703839.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Puducherry,2139507.00,3556757.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Punjab,39771679.00,56259349.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Rajasthan,67989611.00,113071550.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Sikkim,2032829.00,3581880.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Tamil Nadu,119847593.00,191232389.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Telangana,60673574.00,103019269.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Tripura,3790872.00,5999761.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Uttar Pradesh,118104904.00,187676401.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,Uttarakhand,16368257.00,23900458.00,"constant_prices, current_prices in rupees lakh"
2021-22,2011-12,West Bengal,76990643.00,126422986.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Andaman and Nicobar Islands,622098.00,862559.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Andhra Pradesh,59750517.00,90886785.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Arunachal Pradesh,1695112.00,2856317.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Assam,21621051.00,30896832.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Bihar,35713975.00,55232723.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Chandigarh,2700201.00,3688834.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Chhattisgarh,23798534.00,33603012.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Delhi,47106982.00,66689937.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Goa,4827751.00,6825970.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Gujarat,106561827.00,143834928.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Haryana,44389530.00,64104188.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Himachal Pradesh,10929923.00,14308453.00,"constant_prices, current_prices in rupees lakh"
