fiscal_year,base_year,state,constant_prices,current_prices,unit
2016-17,2011-12,Karnataka,84519597.00,108339442.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Kerala,43537107.00,57024819.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Madhya Pradesh,43747686.00,60761658.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Maharashtra,159981861.00,190848470.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Manipur,1634302.00,2043834.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Meghalaya,1951289.00,2467113.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Mizoram,1309424.00,1668880.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Nagaland,1525091.00,2124607.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Odisha,31097941.00,35497589.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Puducherry,1782181.00,2574138.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Punjab,32484547.00,38618871.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Rajasthan,56309721.00,72197182.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Sikkim,1458525.00,1959619.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Tamil Nadu,93950101.00,118379880.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Telangana,45953910.00,60018601.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Tripura,2889302.00,3772986.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Uttar Pradesh,95231437.00,119689996.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Uttarakhand,15526255.00,17983865.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,West Bengal,63249390.00,81933989.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Andaman and Nicobar Islands,508805.00,602695.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Andhra Pradesh,45045306.00,55642062.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Arunachal Pradesh,1376580.00,1795539.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Assam,18067369.00,21517442.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Bihar,28608959.00,36415499.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Chandigarh,2452765.00,2866823.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Chhattisgarh,18014536.00,21371205.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Delhi,41091745.00,47878154.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Goa,4152563.00,4954923.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Gujarat,79263531.00,91525289.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Haryana,36740800.00,43933491.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Himachal Pradesh,9192566.00,10725675.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Jammu and Kashmir,9139017.00,11061385.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Jharkhand,15774120.00,18687522.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Karnataka,75530653.00,94266872.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Kerala,40648007.00,50913738.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Madhya Pradesh,38989851.00,50817506.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Maharashtra,146848493.00,172048768.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Manipur,1597849.00,1903318.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Meghalaya,1875803.00,2287227.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Mizoram,1199895.00,1481422.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Nagaland,1444790.00,1927233.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Odisha,27464169.00,30450599.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Puducherry,1659649.00,2317605.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Punjab,30520874.00,35315538.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Rajasthan,52889688.00,64296040.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Sikkim,1373908.00,1724275.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Tamil Nadu,87907147.00,107641409.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Telangana,42384244.00,53033551.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Tripura,2587235.00,3472325.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Uttar Pradesh,85157433.00,105765147.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,Uttarakhand,14230782.00,16359503.00,"constant_prices, current_prices in rupees lakh"
2015-16,2011-12,West Bengal,58692252.00,75016317.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Andaman and Nicobar Islands,480416.00,554945.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Andhra Pradesh,40701128.00,48770864.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Arunachal Pradesh,1402885.00,1753815.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Assam,15559921.00,18429412.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Bihar,26941804.00,33519908.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Chandigarh,2272102.00,2636144.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Chhattisgarh,17523357.00,20906764.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Delhi,37584777.00,43424110.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Goa,3681192.00,4319049.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Gujarat,71850958.00,82423326.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Haryana,33496911.00,39991427.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Himachal Pradesh,8510189.00,9733153.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Jammu and Kashmir,7780177.00,9311907.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Jharkhand,17125696.00,20079571.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Karnataka,68394435.00,83131593.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Kerala,38586962.00,47180920.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Madhya Pradesh,36364007.00,45620028.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Maharashtra,137637418.00,158693708.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Manipur,1502538.00,1786630.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Meghalaya,1913447.00,2202768.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Mizoram,1110198.00,1334390.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Nagaland,1429722.00,1824394.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Odisha,25584002.00,29520164.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Puducherry,1581638.00,1979373.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Punjab,29009391.00,32877935.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Rajasthan,49370378.00,58364573.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Sikkim,1259455.00,1484516.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Tamil Nadu,81500069.00,98284312.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Telangana,38307307.00,46649916.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Tripura,2650061.00,2886502.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Uttar Pradesh,78093698.00,94899345.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,Uttarakhand,13224866.00,15048694.00,"constant_prices, current_prices in rupees lakh"
2014-15,2011-12,West Bengal,55652671.00,67880033.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Andaman and Nicobar Islands,450235.00,503825.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Andhra Pradesh,37558505.00,42672201.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Arunachal Pradesh,1207948.00,1427735.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Assam,14594127.00,16785025.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Bihar,26066234.00,30668542.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Chandigarh,2193198.00,2461336.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Chhattisgarh,17255460.00,19542711.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Delhi,34162477.00,38593091.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Goa,2818646.00,3202361.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Gujarat,65149149.00,72108295.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Haryana,31605865.00,36756677.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Himachal Pradesh,7928936.00,8935770.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Jammu and Kashmir,8072179.00,9062373.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Jharkhand,15172379.00,17253230.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Karnataka,64200748.00,74037344.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Kerala,37165147.00,42910029.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Madhya Pradesh,34532723.00,41680964.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Maharashtra,129642764.00,146896763.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Manipur,1381923.00,1583948.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Meghalaya,1978747.00,2184428.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Mizoram,889166.00,1013407.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Nagaland,1362743.00,1642062.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Odisha,25256176.00,28044263.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Puducherry,1684514.00,1918901.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Punjab,27925101.00,30832906.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Rajasthan,46177057.00,52334881.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Sikkim,1165257.00,1331690.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Tamil Nadu,77668351.00,88778435.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Telangana,36429578.00,42172940.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Tripura,2234589.00,2503940.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Uttar Pradesh,75433096.00,88556502.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,Uttarakhand,12554464.00,13950393.00,"constant_prices, current_prices in rupees lakh"
2013-14,2011-12,West Bengal,53792226.00,64308808.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Andaman and Nicobar Islands,423268.00,450223.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Andhra Pradesh,35101408.00,37947671.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Arunachal Pradesh,1116835.00,1240354.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Assam,13969583.00,14860974.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Bihar,25160949.00,27669912.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Chandigarh,2024310.00,2156063.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Chhattisgarh,15556882.00,16613333.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Delhi,32093243.00,34258754.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Goa,3282222.00,3487302.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Gujarat,60700503.00,64515549.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Haryana,29360057.00,31989448.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Himachal Pradesh,7412569.00,7890840.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Jammu and Kashmir,7699726.00,8308983.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Jharkhand,15030597.00,16082669.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Karnataka,58512351.00,63155790.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Kerala,35635473.00,38128287.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Madhya Pradesh,33819762.00,36641880.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Maharashtra,121338185.00,129504163.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Manipur,1297565.00,1372469.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Meghalaya,1930916.00,2073867.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Mizoram,792012.00,851315.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Nagaland,1276703.00,1401219.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Odisha,23191892.00,24916295.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Puducherry,1508643.00,1647145.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Punjab,26540116.00,28083782.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Rajasthan,43452102.00,47206334.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Sikkim,1108183.00,1196742.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Tamil Nadu,72507418.00,78477168.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Telangana,34587612.00,37526261.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Tripura,2052666.00,2128938.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Uttar Pradesh,71633937.00,77720557.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,Uttarakhand,11610323.00,12374880.00,"constant_prices, current_prices in rupees lakh"
2012-13,2011-12,West Bengal,52017765.00,56611164.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Andaman and Nicobar Islands,403755.00,403755.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Andhra Pradesh,34975303.00,34975303.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Arunachal Pradesh,1085470.00,1085470.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Assam,13529020.00,13529020.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Bihar,24169850.00,24169850.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Chandigarh,1873151.00,1873151.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Chhattisgarh,14842982.00,14842982.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Delhi,30323249.00,30323249.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Goa,3940566.00,3940566.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Gujarat,55192107.00,55192107.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Haryana,27407463.00,27407463.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Himachal Pradesh,6940278.00,6940278.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Jammu and Kashmir,7476073.00,7476073.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Jharkhand,13912959.00,13912959.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Karnataka,55221364.00,55221364.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Kerala,33629311.00,33629310.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Madhya Pradesh,30368859.00,30368859.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Maharashtra,114441844.00,114441844.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Manipur,1272912.00,1272912.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Meghalaya,1892182.00,1892182.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Mizoram,743008.00,743008.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Nagaland,1206674.00,1206676.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Odisha,22023169.00,22023169.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Puducherry,1481201.00,1481201.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Punjab,25377427.00,25377427.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Rajasthan,41698354.00,41698354.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Sikkim,1089210.00,1089210.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Tamil Nadu,69302212.00,69302212.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Telangana,33605011.00,33605011.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Tripura,1879553.00,1879553.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Uttar Pradesh,68189459.00,68189459.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,Uttarakhand,10833284.00,10833282.00,"constant_prices, current_prices in rupees lakh"
2011-12,2011-12,West Bengal,49846983.00,49846984.00,"constant_prices, current_prices in rupees lakh"
