fiscal_year,state,region,gender,unemployment_rate,unit,note
2025,Haryana,Rural+Urban,Person,4.6,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Male,7.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Female,8.3,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural,Person,7.7,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Male,6.9,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Female,19.5,unemployment_rate in percentage,
2025,Himachal Pradesh,Urban,Person,10.9,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Male,7.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Female,9.2,unemployment_rate in percentage,
2025,Himachal Pradesh,Rural+Urban,Person,8.1,unemployment_rate in percentage,
2025,Jharkhand,Rural,Male,3.1,unemployment_rate in percentage,
2025,Jharkhand,Rural,Female,1.3,unemployment_rate in percentage,
2025,Jharkhand,Rural,Person,2.5,unemployment_rate in percentage,
2025,Jharkhand,Urban,Male,7.9,unemployment_rate in percentage,
2025,Jharkhand,Urban,Female,15.5,unemployment_rate in percentage,
2025,Jharkhand,Urban,Person,9.2,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Male,4.1,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Female,2.7,unemployment_rate in percentage,
2025,Jharkhand,Rural+Urban,Person,3.7,unemployment_rate in percentage,
2025,Karnataka,Rural,Male,2.4,unemployment_rate in percentage,
2025,Karnataka,Rural,Female,1.9,unemployment_rate in percentage,
2025,Karnataka,Rural,Person,2.2,unemployment_rate in percentage,
2025,Karnataka,Urban,Male,2.8,unemployment_rate in percentage,
2025,Karnataka,Urban,Female,3.6,unemployment_rate in percentage,
2025,Karnataka,Urban,Person,3,unemployment_rate in percentage,
2025,Karnataka,Rural+Urban,Male,2.6,unemployment_rate in percentage,
2025,Karnataka,Rural+Urban,Female,2.4,unemployment_rate in percentage,
2025,Karnataka,Rural+Urban,Person,2.5,unemployment_rate in percentage,
2025,Kerala,Rural,Male,4.6,unemployment_rate in percentage,
2025,Kerala,Rural,Female,9.5,unemployment_rate in percentage,
2025,Kerala,Rural,Person,6.4,unemployment_rate in percentage,
2025,Kerala,Urban,Male,4,unemployment_rate in percentage,
2025,Kerala,Urban,Female,9.3,unemployment_rate in percentage,
2025,Kerala,Urban,Person,5.7,unemployment_rate in percentage,
2025,Kerala,Rural+Urban,Male,4.3,unemployment_rate in percentage,
2025,Kerala,Rural+Urban,Female,9.4,unemployment_rate in percentage,
2025,Kerala,Rural+Urban,Person,6,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural,Male,1.6,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural,Female,0.8,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural,Person,1.3,unemployment_rate in percentage,
2025,Madhya Pradesh,Urban,Male,3.2,unemployment_rate in percentage,
2025,Madhya Pradesh,Urban,Female,7.6,unemployment_rate in percentage,
2025,Madhya Pradesh,Urban,Person,4,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural+Urban,Male,2,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural+Urban,Female,1.9,unemployment_rate in percentage,
2025,Madhya Pradesh,Rural+Urban,Person,2,unemployment_rate in percentage,
2025,Maharashtra,Rural,Male,2.2,unemployment_rate in percentage,
2025,Maharashtra,Rural,Female,1.4,unemployment_rate in percentage,
2025,Maharashtra,Rural,Person,1.9,unemployment_rate in percentage,
2025,Maharashtra,Urban,Male,3.4,unemployment_rate in percentage,
2025,Maharashtra,Urban,Female,4.1,unemployment_rate in percentage,
2025,Maharashtra,Urban,Person,3.6,unemployment_rate in percentage,
2025,Maharashtra,Rural+Urban,Male,2.8,unemployment_rate in percentage,
2025,Maharashtra,Rural+Urban,Female,2.3,unemployment_rate in percentage,
2025,Maharashtra,Rural+Urban,Person,2.6,unemployment_rate in percentage,
2025,Manipur,Rural,Male,3.5,unemployment_rate in percentage,
2025,Manipur,Rural,Female,7.3,unemployment_rate in percentage,
2025,Manipur,Rural,Person,5.1,unemployment_rate in percentage,
2025,Manipur,Urban,Male,6.1,unemployment_rate in percentage,
2025,Manipur,Urban,Female,6.7,unemployment_rate in percentage,
2025,Manipur,Urban,Person,6.4,unemployment_rate in percentage,
2025,Manipur,Rural+Urban,Male,4.2,unemployment_rate in percentage,
2025,Manipur,Rural+Urban,Female,7.1,unemployment_rate in percentage,
2025,Manipur,Rural+Urban,Person,5.4,unemployment_rate in percentage,
2025,Meghalaya,Rural,Male,2.9,unemployment_rate in percentage,
2025,Meghalaya,Rural,Female,6.4,unemployment_rate in percentage,
2025,Meghalaya,Rural,Person,4.4,unemployment_rate in percentage,
2025,Meghalaya,Urban,Male,6.6,unemployment_rate in percentage,
2025,Meghalaya,Urban,Female,13.8,unemployment_rate in percentage,
2025,Meghalaya,Urban,Person,9.9,unemployment_rate in percentage,
2025,Meghalaya,Rural+Urban,Male,3.5,unemployment_rate in percentage,
2025,Meghalaya,Rural+Urban,Female,7.5,unemployment_rate in percentage,
2025,Meghalaya,Rural+Urban,Person,5.3,unemployment_rate in percentage,
2025,Mizoram,Rural,Male,1.8,unemployment_rate in percentage,
2025,Mizoram,Rural,Female,0,unemployment_rate in percentage,
2025,Mizoram,Rural,Person,1.2,unemployment_rate in percentage,
2025,Mizoram,Urban,Male,3.3,unemployment_rate in percentage,
2025,Mizoram,Urban,Female,4.2,unemployment_rate in percentage,
2025,Mizoram,Urban,Person,3.6,unemployment_rate in percentage,
2025,Mizoram,Rural+Urban,Male,2.5,unemployment_rate in percentage,
2025,Mizoram,Rural+Urban,Female,2.1,unemployment_rate in percentage,
2025,Mizoram,Rural+Urban,Person,2.4,unemployment_rate in percentage,
2025,Nagaland,Rural,Male,3,unemployment_rate in percentage,
2025,Nagaland,Rural,Female,6.4,unemployment_rate in percentage,
2025,Nagaland,Rural,Person,4.6,unemployment_rate in percentage,
2025,Nagaland,Urban,Male,11.2,unemployment_rate in percentage,
2025,Nagaland,Urban,Female,18.1,unemployment_rate in percentage,
2025,Nagaland,Urban,Person,13.7,unemployment_rate in percentage,
2025,Nagaland,Rural+Urban,Male,5.5,unemployment_rate in percentage,
2025,Nagaland,Rural+Urban,Female,9.1,unemployment_rate in percentage,
2025,Nagaland,Rural+Urban,Person,7.1,unemployment_rate in percentage,
2025,Odisha,Rural,Male,3.8,unemployment_rate in percentage,
2025,Odisha,Rural,Female,3.6,unemployment_rate in percentage,
2025,Odisha,Rural,Person,3.7,unemployment_rate in percentage,
2025,Odisha,Urban,Male,4.8,unemployment_rate in percentage,
2025,Odisha,Urban,Female,6.8,unemployment_rate in percentage,
2025,Odisha,Urban,Person,5.3,unemployment_rate in percentage,
2025,Odisha,Rural+Urban,Male,3.9,unemployment_rate in percentage,
2025,Odisha,Rural+Urban,Female,4,unemployment_rate in percentage,
2025,Odisha,Rural+Urban,Person,4,unemployment_rate in percentage,
2025,Punjab,Rural,Male,4.9,unemployment_rate in percentage,
2025,Punjab,Rural,Female,8.3,unemployment_rate in percentage,
2025,Punjab,Rural,Person,5.9,unemployment_rate in percentage,
2025,Punjab,Urban,Male,4.4,unemployment_rate in percentage,
2025,Punjab,Urban,Female,7.6,unemployment_rate in percentage,
2025,Punjab,Urban,Person,5.1,unemployment_rate in percentage,
2025,Punjab,Rural+Urban,Male,4.7,unemployment_rate in percentage,
2025,Punjab,Rural+Urban,Female,8.1,unemployment_rate in percentage,
2025,Punjab,Rural+Urban,Person,5.6,unemployment_rate in percentage,
2025,Rajasthan,Rural,Male,3.3,unemployment_rate in percentage,
2025,Rajasthan,Rural,Female,3.6,unemployment_rate in percentage,
2025,Rajasthan,Rural,Person,3.4,unemployment_rate in percentage,
2025,Rajasthan,Urban,Male,8.7,unemployment_rate in percentage,
2025,Rajasthan,Urban,Female,17,unemployment_rate in percentage,
2025,Rajasthan,Urban,Person,10.8,unemployment_rate in percentage,
2025,Rajasthan,Rural+Urban,Male,4.9,unemployment_rate in percentage,
2025,Rajasthan,Rural+Urban,Female,5.8,unemployment_rate in percentage,
2025,Rajasthan,Rural+Urban,Person,5.2,unemployment_rate in percentage,
2025,Sikkim,Rural,Male,3,unemployment_rate in percentage,
2025,Sikkim,Rural,Female,3.6,unemployment_rate in percentage,
2025,Sikkim,Rural,Person,3.2,unemployment_rate in percentage,
2025,Sikkim,Urban,Male,4.1,unemployment_rate in percentage,
2025,Sikkim,Urban,Female,7.1,unemployment_rate in percentage,
2025,Sikkim,Urban,Person,5.2,unemployment_rate in percentage,
2025,Sikkim,Rural+Urban,Male,3.2,unemployment_rate in percentage,
