fiscal_year,state,category,percentage,unit
2020-21,Dadra and Nagar Haveli,General,4.20,
2020-21,Daman and Diu,General,6.90,
2020-21,Delhi,General,3.30,
2020-21,Goa,General,6.90,
2020-21,Gujarat,General,5.90,
2020-21,Haryana,General,5.90,
2020-21,Himachal Pradesh,General,5.20,
2020-21,Jammu and Kashmir,General,6.30,
2020-21,Jharkhand,General,6.00,
2020-21,Karnataka,General,5.80,
2020-21,Kerala,General,6.00,
2020-21,Lakshadweep,General,11.10,
2020-21,Madhya Pradesh,General,7.60,
2020-21,Maharashtra,General,6.80,
2020-21,Manipur,General,6.70,
2020-21,Meghalaya,General,9.20,
2020-21,Mizoram,General,10.30,
2020-21,Nagaland,General,4.80,
2020-21,Odisha,General,7.90,
2020-21,Puducherry,General,8.40,
2020-21,Punjab,General,5.30,
2020-21,Rajasthan,General,4.40,
2020-21,Sikkim,General,7.10,
2020-21,Tamil Nadu,General,7.50,
2020-21,Telangana,General,8.70,
2020-21,Tripura,General,9.50,
2020-21,Uttar Pradesh,General,6.10,
2020-21,Uttarakhand,General,8.10,
2020-21,West Bengal,General,8.70,
2020-21,ALL INDIA,General,6.20,
2020-21,Andaman and Nicobar Islands,Food and Beverages,5.60,
2020-21,Andhra Pradesh,Food and Beverages,11.10,
2020-21,Assam,Food and Beverages,10.60,
2020-21,Bihar,Food and Beverages,10.90,
2020-21,Chandigarh,Food and Beverages,5.60,
2020-21,Chhattisgarh,Food and Beverages,10.70,
2020-21,Dadra and Nagar Haveli,Food and Beverages,6.50,
2020-21,Daman and Diu,Food and Beverages,8.40,
2020-21,Delhi,Food and Beverages,5.50,
2020-21,Goa,Food and Beverages,11.30,
2020-21,Gujarat,Food and Beverages,8.00,
2020-21,Haryana,Food and Beverages,5.90,
2020-21,Himachal Pradesh,Food and Beverages,6.20,
2020-21,Jammu and Kashmir,Food and Beverages,6.70,
2020-21,Jharkhand,Food and Beverages,9.40,
2020-21,Karnataka,Food and Beverages,6.90,
2020-21,Kerala,Food and Beverages,5.90,
2020-21,Lakshadweep,Food and Beverages,20.30,
2020-21,Madhya Pradesh,Food and Beverages,8.50,
2020-21,Maharashtra,Food and Beverages,8.30,
2020-21,Manipur,Food and Beverages,6.20,
2020-21,Meghalaya,Food and Beverages,8.80,
2020-21,Mizoram,Food and Beverages,13.80,
2020-21,Nagaland,Food and Beverages,7.20,
2020-21,Odisha,Food and Beverages,10.60,
2020-21,Puducherry,Food and Beverages,11.20,
2020-21,Punjab,Food and Beverages,5.90,
2020-21,Rajasthan,Food and Beverages,4.80,
2020-21,Sikkim,Food and Beverages,14.00,
2020-21,Tamil Nadu,Food and Beverages,9.90,
2020-21,Telangana,Food and Beverages,11.30,
2020-21,Tripura,Food and Beverages,13.30,
2020-21,Uttar Pradesh,Food and Beverages,8.20,
2020-21,Uttarakhand,Food and Beverages,9.30,
2020-21,West Bengal,Food and Beverages,12.50,
2020-21,ALL INDIA,Food and Beverages,7.30,
2020-21,Andaman and Nicobar Islands,Fuel and Light,-5.30,
2020-21,Andhra Pradesh,Fuel and Light,5.60,
2020-21,Assam,Fuel and Light,2.50,
2020-21,Bihar,Fuel and Light,3.50,
2020-21,Chandigarh,Fuel and Light,4.40,
2020-21,Chhattisgarh,Fuel and Light,3.60,
2020-21,Dadra and Nagar Haveli,Fuel and Light,-5.30,
2020-21,Daman and Diu,Fuel and Light,20.60,
2020-21,Delhi,Fuel and Light,0.30,
2020-21,Goa,Fuel and Light,-6.80,
2020-21,Gujarat,Fuel and Light,1.80,
2020-21,Haryana,Fuel and Light,7.10,
2020-21,Himachal Pradesh,Fuel and Light,-5.70,
2020-21,Jammu and Kashmir,Fuel and Light,5.00,
2020-21,Jharkhand,Fuel and Light,3.50,
2020-21,Karnataka,Fuel and Light,6.30,
2020-21,Kerala,Fuel and Light,5.50,
2020-21,Lakshadweep,Fuel and Light,1.10,
2020-21,Madhya Pradesh,Fuel and Light,5.20,
2020-21,Maharashtra,Fuel and Light,8.00,
2020-21,Manipur,Fuel and Light,5.60,
2020-21,Meghalaya,Fuel and Light,24.20,
2020-21,Mizoram,Fuel and Light,15.00,
2020-21,Nagaland,Fuel and Light,1.70,
2020-21,Odisha,Fuel and Light,4.60,
2020-21,Puducherry,Fuel and Light,8.50,
2020-21,Punjab,Fuel and Light,2.70,
2020-21,Rajasthan,Fuel and Light,2.00,
2020-21,Sikkim,Fuel and Light,-5.60,
2020-21,Tamil Nadu,Fuel and Light,7.30,
2020-21,Telangana,Fuel and Light,-0.70,
2020-21,Tripura,Fuel and Light,7.20,
2020-21,Uttar Pradesh,Fuel and Light,3.30,
2020-21,Uttarakhand,Fuel and Light,2.20,
2020-21,West Bengal,Fuel and Light,3.60,
2020-21,ALL INDIA,Fuel and Light,2.70,
2020-21,Andaman and Nicobar Islands,Housing (Urban),7.30,
2020-21,Andhra Pradesh,Housing (Urban),5.20,
2020-21,Assam,Housing (Urban),4.10,
2020-21,Bihar,Housing (Urban),4.20,
2020-21,Chandigarh,Housing (Urban),2.20,
2020-21,Chhattisgarh,Housing (Urban),1.00,
2020-21,Dadra and Nagar Haveli,Housing (Urban),3.70,
2020-21,Daman and Diu,Housing (Urban),1.40,
2020-21,Delhi,Housing (Urban),1.80,
2020-21,Goa,Housing (Urban),1.50,
2020-21,Gujarat,Housing (Urban),3.30,
2020-21,Haryana,Housing (Urban),4.70,
2020-21,Himachal Pradesh,Housing (Urban),3.30,
2020-21,Jammu and Kashmir,Housing (Urban),4.80,
2020-21,Jharkhand,Housing (Urban),2.70,
2020-21,Karnataka,Housing (Urban),4.00,
2020-21,Kerala,Housing (Urban),3.20,
2020-21,Lakshadweep,Housing (Urban),-2.70,
2020-21,Madhya Pradesh,Housing (Urban),5.00,
2020-21,Maharashtra,Housing (Urban),5.10,
2020-21,Manipur,Housing (Urban),3.20,
2020-21,Meghalaya,Housing (Urban),3.70,
2020-21,Mizoram,Housing (Urban),5.30,
2020-21,Nagaland,Housing (Urban),0.80,
2020-21,Odisha,Housing (Urban),3.70,
2020-21,Puducherry,Housing (Urban),3.70,
2020-21,Punjab,Housing (Urban),2.80,
2020-21,Rajasthan,Housing (Urban),3.20,
2020-21,Sikkim,Housing (Urban),3.40,
2020-21,Tamil Nadu,Housing (Urban),4.30,
2020-21,Telangana,Housing (Urban),4.90,
2020-21,Tripura,Housing (Urban),6.50,
2020-21,Uttar Pradesh,Housing (Urban),4.20,
2020-21,Uttarakhand,Housing (Urban),4.70,
2020-21,West Bengal,Housing (Urban),5.30,
2020-21,ALL INDIA,Housing (Urban),3.30,
2019-20,Andaman and Nicobar Islands,General,6.50,
2019-20,Andhra Pradesh,General,3.50,
2019-20,Assam,General,6.00,
2019-20,Bihar,General,2.20,
2019-20,Chandigarh,General,4.80,
2019-20,Chhattisgarh,General,2.50,
2019-20,Dadra and Nagar Haveli,General,4.70,
2019-20,Daman and Diu,General,0.80,
2019-20,Delhi,General,3.70,
2019-20,Goa,General,4.30,
2019-20,Gujarat,General,3.70,
2019-20,Haryana,General,4.30,
2019-20,Himachal Pradesh,General,3.50,
2019-20,Jammu and Kashmir,General,4.30,
2019-20,Jharkhand,General,4.10,
2019-20,Karnataka,General,5.60,
2019-20,Kerala,General,6.10,
2019-20,Lakshadweep,General,8.30,
2019-20,Madhya Pradesh,General,5.50,
2019-20,Maharashtra,General,4.40,
2019-20,Manipur,General,6.90,
2019-20,Meghalaya,General,2.80,
2019-20,Mizoram,General,5.10,
2019-20,Nagaland,General,3.80,
2019-20,Odisha,General,4.60,
2019-20,Puducherry,General,6.20,
2019-20,Punjab,General,5.00,
2019-20,Rajasthan,General,5.30,
2019-20,Sikkim,General,3.20,
2019-20,Tamil Nadu,General,5.70,
2019-20,Telangana,General,4.50,
2019-20,Tripura,General,6.30,
2019-20,Uttar Pradesh,General,5.90,
2019-20,Uttarakhand,General,5.90,
2019-20,West Bengal,General,4.60,
2019-20,ALL INDIA,General,4.80,
2019-20,Andaman and Nicobar Islands,Food and Beverages,10.40,
2019-20,Andhra Pradesh,Food and Beverages,4.40,
2019-20,Assam,Food and Beverages,5.50,
2019-20,Bihar,Food and Beverages,2.40,
2019-20,Chandigarh,Food and Beverages,9.40,
2019-20,Chhattisgarh,Food and Beverages,4.20,
2019-20,Dadra and Nagar Haveli,Food and Beverages,3.10,
2019-20,Daman and Diu,Food and Beverages,-0.40,
2019-20,Delhi,Food and Beverages,4.40,
2019-20,Goa,Food and Beverages,3.60,
2019-20,Gujarat,Food and Beverages,4.70,
2019-20,Haryana,Food and Beverages,4.90,
2019-20,Himachal Pradesh,Food and Beverages,3.70,
2019-20,Jammu and Kashmir,Food and Beverages,3.20,
2019-20,Jharkhand,Food and Beverages,4.50,
2019-20,Karnataka,Food and Beverages,6.40,
2019-20,Kerala,Food and Beverages,6.30,
2019-20,Lakshadweep,Food and Beverages,11.00,
2019-20,Madhya Pradesh,Food and Beverages,7.60,
2019-20,Maharashtra,Food and Beverages,6.10,
2019-20,Manipur,Food and Beverages,11.00,
2019-20,Meghalaya,Food and Beverages,1.60,
2019-20,Mizoram,Food and Beverages,5.60,
2019-20,Nagaland,Food and Beverages,3.30,
2019-20,Odisha,Food and Beverages,5.60,
2019-20,Puducherry,Food and Beverages,7.40,
2019-20,Punjab,Food and Beverages,6.90,
2019-20,Rajasthan,Food and Beverages,8.30,
2019-20,Sikkim,Food and Beverages,1.20,
2019-20,Tamil Nadu,Food and Beverages,7.70,
2019-20,Telangana,Food and Beverages,4.90,
2019-20,Tripura,Food and Beverages,6.90,
2019-20,Uttar Pradesh,Food and Beverages,7.50,
2019-20,Uttarakhand,Food and Beverages,7.10,
2019-20,West Bengal,Food and Beverages,5.40,
2019-20,ALL INDIA,Food and Beverages,6.00,
2019-20,Andaman and Nicobar Islands,Fuel and Light,-4.50,
2019-20,Andhra Pradesh,Fuel and Light,-3.80,
2019-20,Assam,Fuel and Light,12.20,
2019-20,Bihar,Fuel and Light,-0.10,
2019-20,Chandigarh,Fuel and Light,-4.50,
2019-20,Chhattisgarh,Fuel and Light,1.10,
2019-20,Dadra and Nagar Haveli,Fuel and Light,14.70,
2019-20,Daman and Diu,Fuel and Light,3.50,
2019-20,Delhi,Fuel and Light,-0.30,
2019-20,Goa,Fuel and Light,9.50,
2019-20,Gujarat,Fuel and Light,0.40,
2019-20,Haryana,Fuel and Light,-3.10,
2019-20,Himachal Pradesh,Fuel and Light,-2.90,
2019-20,Jammu and Kashmir,Fuel and Light,-1.10,
2019-20,Jharkhand,Fuel and Light,1.10,
2019-20,Karnataka,Fuel and Light,6.60,
2019-20,Kerala,Fuel and Light,1.80,
2019-20,Lakshadweep,Fuel and Light,24.20,
2019-20,Madhya Pradesh,Fuel and Light,1.60,
2019-20,Maharashtra,Fuel and Light,2.10,
2019-20,Manipur,Fuel and Light,-8.60,
2019-20,Meghalaya,Fuel and Light,-1.00,
2019-20,Mizoram,Fuel and Light,3.40,
2019-20,Nagaland,Fuel and Light,4.90,
2019-20,Odisha,Fuel and Light,4.90,
2019-20,Puducherry,Fuel and Light,-2.30,
2019-20,Punjab,Fuel and Light,-0.30,
2019-20,Rajasthan,Fuel and Light,-4.30,
2019-20,Sikkim,Fuel and Light,11.90,
2019-20,Tamil Nadu,Fuel and Light,-0.70,
2019-20,Telangana,Fuel and Light,0.10,
2019-20,Tripura,Fuel and Light,11.60,
2019-20,Uttar Pradesh,Fuel and Light,2.00,
2019-20,Uttarakhand,Fuel and Light,1.70,
2019-20,West Bengal,Fuel and Light,-0.70,
2019-20,ALL INDIA,Fuel and Light,1.30,
2019-20,Andaman and Nicobar Islands,Housing (Urban),6.40,
2019-20,Andhra Pradesh,Housing (Urban),4.90,
2019-20,Assam,Housing (Urban),9.00,
2019-20,Bihar,Housing (Urban),3.30,
2019-20,Chandigarh,Housing (Urban),3.60,
2019-20,Chhattisgarh,Housing (Urban),1.60,
2019-20,Dadra and Nagar Haveli,Housing (Urban),3.50,
2019-20,Daman and Diu,Housing (Urban),6.50,
2019-20,Delhi,Housing (Urban),2.90,
2019-20,Goa,Housing (Urban),2.80,
2019-20,Gujarat,Housing (Urban),2.90,
2019-20,Haryana,Housing (Urban),2.80,
2019-20,Himachal Pradesh,Housing (Urban),3.70,
2019-20,Jammu and Kashmir,Housing (Urban),11.50,
2019-20,Jharkhand,Housing (Urban),6.40,
2019-20,Karnataka,Housing (Urban),7.80,
2019-20,Kerala,Housing (Urban),4.40,
2019-20,Lakshadweep,Housing (Urban),1.00,
2019-20,Madhya Pradesh,Housing (Urban),5.50,
2019-20,Maharashtra,Housing (Urban),4.00,
2019-20,Manipur,Housing (Urban),4.80,
2019-20,Meghalaya,Housing (Urban),6.00,
2019-20,Mizoram,Housing (Urban),5.10,
2019-20,Nagaland,Housing (Urban),3.10,
2019-20,Odisha,Housing (Urban),4.40,
2019-20,Puducherry,Housing (Urban),5.10,
2019-20,Punjab,Housing (Urban),3.00,
2019-20,Rajasthan,Housing (Urban),4.30,
2019-20,Sikkim,Housing (Urban),2.10,
2019-20,Tamil Nadu,Housing (Urban),4.60,
2019-20,Telangana,Housing (Urban),4.10,
2019-20,Tripura,Housing (Urban),5.70,
2019-20,Uttar Pradesh,Housing (Urban),4.50,
2019-20,Uttarakhand,Housing (Urban),8.00,
2019-20,West Bengal,Housing (Urban),3.80,
2019-20,ALL INDIA,Housing (Urban),4.50,
2018-19,Andaman and Nicobar Islands,General,6.90,
2018-19,Andhra Pradesh,General,1.10,
2018-19,Assam,General,5.90,
2018-19,Bihar,General,3.90,
2018-19,Chandigarh,General,4.00,
2018-19,Chhattisgarh,General,2.40,
2018-19,Dadra and Nagar Haveli,General,1.80,
2018-19,Daman and Diu,General,-1.90,
2018-19,Delhi,General,2.70,
2018-19,Goa,General,2.60,
2018-19,Gujarat,General,2.50,
2018-19,Haryana,General,2.90,
2018-19,Himachal Pradesh,General,0.50,
2018-19,Jammu and Kashmir,General,5.30,
2018-19,Jharkhand,General,3.70,
2018-19,Karnataka,General,3.30,
2018-19,Kerala,General,4.90,
2018-19,Lakshadweep,General,5.70,
2018-19,Madhya Pradesh,General,3.50,
2018-19,Maharashtra,General,3.10,
2018-19,Manipur,General,8.70,
2018-19,Meghalaya,General,2.20,
2018-19,Mizoram,General,2.50,
2018-19,Nagaland,General,6.00,
2018-19,Odisha,General,2.60,
2018-19,Puducherry,General,4.20,
2018-19,Punjab,General,3.80,
2018-19,Rajasthan,General,2.30,
2018-19,Sikkim,General,3.90,
2018-19,Tamil Nadu,General,3.70,
2018-19,Telangana,General,2.60,
2018-19,Tripura,General,4.30,
2018-19,Uttar Pradesh,General,3.80,
2018-19,Uttarakhand,General,4.00,
2018-19,West Bengal,General,5.10,
2018-19,ALL INDIA,General,3.40,
2018-19,Andaman and Nicobar Islands,Food and Beverages,5.20,
2018-19,Andhra Pradesh,Food and Beverages,-1.80,
2018-19,Assam,Food and Beverages,3.80,
2018-19,Bihar,Food and Beverages,1.70,
2018-19,Chandigarh,Food and Beverages,-0.70,
2018-19,Chhattisgarh,Food and Beverages,-1.90,
2018-19,Dadra and Nagar Haveli,Food and Beverages,-1.60,
2018-19,Daman and Diu,Food and Beverages,-6.20,
2018-19,Delhi,Food and Beverages,0.60,
2018-19,Goa,Food and Beverages,-0.30,
2018-19,Gujarat,Food and Beverages,-0.80,
2018-19,Haryana,Food and Beverages,-0.30,
2018-19,Himachal Pradesh,Food and Beverages,-3.00,
2018-19,Jammu and Kashmir,Food and Beverages,1.90,
2018-19,Jharkhand,Food and Beverages,0.10,
2018-19,Karnataka,Food and Beverages,0.20,
2018-19,Kerala,Food and Beverages,1.60,
2018-19,Lakshadweep,Food and Beverages,2.50,
2018-19,Madhya Pradesh,Food and Beverages,0.70,
2018-19,Maharashtra,Food and Beverages,0.60,
2018-19,Manipur,Food and Beverages,9.20,
2018-19,Meghalaya,Food and Beverages,1.50,
2018-19,Mizoram,Food and Beverages,1.70,
2018-19,Nagaland,Food and Beverages,5.10,
2018-19,Odisha,Food and Beverages,1.10,
2018-19,Puducherry,Food and Beverages,0.30,
2018-19,Punjab,Food and Beverages,1.10,
2018-19,Rajasthan,Food and Beverages,-0.70,
2018-19,Sikkim,Food and Beverages,3.00,
2018-19,Tamil Nadu,Food and Beverages,-0.30,
2018-19,Telangana,Food and Beverages,0.10,
2018-19,Tripura,Food and Beverages,4.60,
2018-19,Uttar Pradesh,Food and Beverages,1.50,
2018-19,Uttarakhand,Food and Beverages,1.40,
2018-19,West Bengal,Food and Beverages,3.20,
2018-19,ALL INDIA,Food and Beverages,0.70,
2018-19,Andaman and Nicobar Islands,Fuel and Light,11.10,
2018-19,Andhra Pradesh,Fuel and Light,4.20,
2018-19,Assam,Fuel and Light,18.00,
2018-19,Bihar,Fuel and Light,6.60,
2018-19,Chandigarh,Fuel and Light,2.70,
2018-19,Chhattisgarh,Fuel and Light,10.60,
2018-19,Dadra and Nagar Haveli,Fuel and Light,-6.80,
2018-19,Daman and Diu,Fuel and Light,0.40,
2018-19,Delhi,Fuel and Light,-6.40,
2018-19,Goa,Fuel and Light,12.90,
2018-19,Gujarat,Fuel and Light,4.60,
2018-19,Haryana,Fuel and Light,1.00,
2018-19,Himachal Pradesh,Fuel and Light,0.00,
2018-19,Jammu and Kashmir,Fuel and Light,10.30,
2018-19,Jharkhand,Fuel and Light,12.30,
2018-19,Karnataka,Fuel and Light,6.20,
2018-19,Kerala,Fuel and Light,6.60,
2018-19,Lakshadweep,Fuel and Light,3.60,
2018-19,Madhya Pradesh,Fuel and Light,5.50,
2018-19,Maharashtra,Fuel and Light,4.30,
2018-19,Manipur,Fuel and Light,3.10,
2018-19,Meghalaya,Fuel and Light,8.30,
2018-19,Mizoram,Fuel and Light,4.70,
2018-19,Nagaland,Fuel and Light,11.10,
2018-19,Odisha,Fuel and Light,3.90,
2018-19,Puducherry,Fuel and Light,5.50,
2018-19,Punjab,Fuel and Light,4.20,
2018-19,Rajasthan,Fuel and Light,3.20,
2018-19,Sikkim,Fuel and Light,7.00,
2018-19,Tamil Nadu,Fuel and Light,7.70,
2018-19,Telangana,Fuel and Light,6.00,
2018-19,Tripura,Fuel and Light,8.70,
2018-19,Uttar Pradesh,Fuel and Light,6.00,
2018-19,Uttarakhand,Fuel and Light,7.70,
2018-19,West Bengal,Fuel and Light,8.00,
2018-19,ALL INDIA,Fuel and Light,5.70,
2018-19,Andaman and Nicobar Islands,Housing (Urban),12.60,
2018-19,Andhra Pradesh,Housing (Urban),6.30,
2018-19,Assam,Housing (Urban),5.30,
2018-19,Bihar,Housing (Urban),5.10,
2018-19,Chandigarh,Housing (Urban),9.40,
2018-19,Chhattisgarh,Housing (Urban),8.60,
2018-19,Dadra and Nagar Haveli,Housing (Urban),4.70,
2018-19,Daman and Diu,Housing (Urban),4.20,
2018-19,Delhi,Housing (Urban),4.10,
2018-19,Goa,Housing (Urban),4.90,
2018-19,Gujarat,Housing (Urban),5.30,
2018-19,Haryana,Housing (Urban),8.30,
2018-19,Himachal Pradesh,Housing (Urban),7.80,
2018-19,Jammu and Kashmir,Housing (Urban),12.90,
2018-19,Jharkhand,Housing (Urban),12.80,
2018-19,Karnataka,Housing (Urban),7.60,
2018-19,Kerala,Housing (Urban),7.30,
2018-19,Lakshadweep,Housing (Urban),45.80,
2018-19,Madhya Pradesh,Housing (Urban),9.80,
2018-19,Maharashtra,Housing (Urban),6.00,
2018-19,Manipur,Housing (Urban),5.10,
2018-19,Meghalaya,Housing (Urban),3.00,
2018-19,Mizoram,Housing (Urban),1.60,
2018-19,Nagaland,Housing (Urban),4.00,
2018-19,Odisha,Housing (Urban),4.10,
2018-19,Puducherry,Housing (Urban),5.30,
2018-19,Punjab,Housing (Urban),3.40,
2018-19,Rajasthan,Housing (Urban),7.90,
2018-19,Sikkim,Housing (Urban),6.80,
2018-19,Tamil Nadu,Housing (Urban),5.80,
2018-19,Telangana,Housing (Urban),4.20,
2018-19,Tripura,Housing (Urban),2.30,
2018-19,Uttar Pradesh,Housing (Urban),11.50,
2018-19,Uttarakhand,Housing (Urban),9.80,
2018-19,West Bengal,Housing (Urban),7.00,
2018-19,ALL INDIA,Housing (Urban),6.70,
2017-18,Andaman and Nicobar Islands,General,3.60,
2017-18,Andhra Pradesh,General,3.40,
2017-18,Assam,General,4.40,
2017-18,Bihar,General,2.70,
2017-18,Chandigarh,General,3.80,
2017-18,Chhattisgarh,General,2.70,
2017-18,Dadra and Nagar Haveli,General,2.80,
2017-18,Daman and Diu,General,6.50,
2017-18,Delhi,General,4.80,
2017-18,Goa,General,3.80,
2017-18,Gujarat,General,2.60,
2017-18,Haryana,General,4.10,
2017-18,Himachal Pradesh,General,4.60,
2017-18,Jammu and Kashmir,General,6.80,
2017-18,Jharkhand,General,3.90,
2017-18,Karnataka,General,3.00,
2017-18,Kerala,General,6.00,
2017-18,Lakshadweep,General,5.00,
2017-18,Madhya Pradesh,General,2.70,
2017-18,Maharashtra,General,4.10,
2017-18,Manipur,General,12.40,
2017-18,Meghalaya,General,1.50,
2017-18,Mizoram,General,1.90,
2017-18,Nagaland,General,3.40,
2017-18,Odisha,General,2.20,
2017-18,Puducherry,General,2.30,
2017-18,Punjab,General,3.70,
2017-18,Rajasthan,General,3.20,
2017-18,Sikkim,General,4.00,
2017-18,Tamil Nadu,General,4.90,
2017-18,Telangana,General,3.90,
2017-18,Tripura,General,3.40,
2017-18,Uttar Pradesh,General,2.40,
2017-18,Uttarakhand,General,3.90,
2017-18,West Bengal,General,3.70,
2017-18,ALL INDIA,General,3.60,
2017-18,Andaman and Nicobar Islands,Food and Beverages,1.50,
2017-18,Andhra Pradesh,Food and Beverages,1.70,
2017-18,Assam,Food and Beverages,3.20,
2017-18,Bihar,Food and Beverages,1.40,
2017-18,Chandigarh,Food and Beverages,1.80,
2017-18,Chhattisgarh,Food and Beverages,0.00,
2017-18,Dadra and Nagar Haveli,Food and Beverages,2.30,
2017-18,Daman and Diu,Food and Beverages,4.80,
2017-18,Delhi,Food and Beverages,4.60,
2017-18,Goa,Food and Beverages,4.30,
2017-18,Gujarat,Food and Beverages,1.50,
2017-18,Haryana,Food and Beverages,3.30,
2017-18,Himachal Pradesh,Food and Beverages,3.70,
2017-18,Jammu and Kashmir,Food and Beverages,7.30,
2017-18,Jharkhand,Food and Beverages,2.30,
2017-18,Karnataka,Food and Beverages,1.80,
2017-18,Kerala,Food and Beverages,8.30,
2017-18,Lakshadweep,Food and Beverages,2.80,
2017-18,Madhya Pradesh,Food and Beverages,0.20,
2017-18,Maharashtra,Food and Beverages,2.20,
2017-18,Manipur,Food and Beverages,8.40,
2017-18,Meghalaya,Food and Beverages,1.30,
2017-18,Mizoram,Food and Beverages,1.70,
2017-18,Nagaland,Food and Beverages,3.60,
2017-18,Odisha,Food and Beverages,0.80,
2017-18,Puducherry,Food and Beverages,0.50,
2017-18,Punjab,Food and Beverages,3.30,
2017-18,Rajasthan,Food and Beverages,1.50,
2017-18,Sikkim,Food and Beverages,0.40,
2017-18,Tamil Nadu,Food and Beverages,4.50,
2017-18,Telangana,Food and Beverages,3.10,
2017-18,Tripura,Food and Beverages,2.80,
2017-18,Uttar Pradesh,Food and Beverages,-0.40,
2017-18,Uttarakhand,Food and Beverages,2.10,
2017-18,West Bengal,Food and Beverages,2.70,
2017-18,ALL INDIA,Food and Beverages,2.20,
2017-18,Andaman and Nicobar Islands,Fuel and Light,12.60,
2017-18,Andhra Pradesh,Fuel and Light,7.00,
2017-18,Assam,Fuel and Light,7.90,
2017-18,Bihar,Fuel and Light,5.70,
2017-18,Chandigarh,Fuel and Light,2.50,
2017-18,Chhattisgarh,Fuel and Light,7.70,
2017-18,Dadra and Nagar Haveli,Fuel and Light,0.30,
2017-18,Daman and Diu,Fuel and Light,13.20,
2017-18,Delhi,Fuel and Light,3.40,
2017-18,Goa,Fuel and Light,7.60,
2017-18,Gujarat,Fuel and Light,4.10,
2017-18,Haryana,Fuel and Light,5.80,
2017-18,Himachal Pradesh,Fuel and Light,10.00,
2017-18,Jammu and Kashmir,Fuel and Light,9.50,
2017-18,Jharkhand,Fuel and Light,8.20,
2017-18,Karnataka,Fuel and Light,6.40,
2017-18,Kerala,Fuel and Light,7.20,
2017-18,Lakshadweep,Fuel and Light,10.00,
2017-18,Madhya Pradesh,Fuel and Light,6.30,
2017-18,Maharashtra,Fuel and Light,5.80,
2017-18,Manipur,Fuel and Light,34.30,
2017-18,Meghalaya,Fuel and Light,2.50,
2017-18,Mizoram,Fuel and Light,4.40,
2017-18,Nagaland,Fuel and Light,10.40,
2017-18,Odisha,Fuel and Light,2.60,
2017-18,Puducherry,Fuel and Light,9.10,
2017-18,Punjab,Fuel and Light,2.60,
2017-18,Rajasthan,Fuel and Light,5.80,
2017-18,Sikkim,Fuel and Light,23.00,
2017-18,Tamil Nadu,Fuel and Light,10.60,
2017-18,Telangana,Fuel and Light,7.10,
2017-18,Tripura,Fuel and Light,4.80,
2017-18,Uttar Pradesh,Fuel and Light,6.00,
2017-18,Uttarakhand,Fuel and Light,9.50,
2017-18,West Bengal,Fuel and Light,6.70,
2017-18,ALL INDIA,Fuel and Light,6.20,
2017-18,Andaman and Nicobar Islands,Housing (Urban),13.30,
2017-18,Andhra Pradesh,Housing (Urban),5.80,
2017-18,Assam,Housing (Urban),4.20,
2017-18,Bihar,Housing (Urban),7.10,
2017-18,Chandigarh,Housing (Urban),9.10,
2017-18,Chhattisgarh,Housing (Urban),7.30,
2017-18,Dadra and Nagar Haveli,Housing (Urban),4.10,
2017-18,Daman and Diu,Housing (Urban),3.80,
2017-18,Delhi,Housing (Urban),7.10,
2017-18,Goa,Housing (Urban),3.80,
2017-18,Gujarat,Housing (Urban),4.70,
2017-18,Haryana,Housing (Urban),7.40,
2017-18,Himachal Pradesh,Housing (Urban),7.50,
2017-18,Jammu and Kashmir,Housing (Urban),7.30,
2017-18,Jharkhand,Housing (Urban),4.50,
2017-18,Karnataka,Housing (Urban),5.50,
2017-18,Kerala,Housing (Urban),6.00,
2017-18,Lakshadweep,Housing (Urban),41.20,
2017-18,Madhya Pradesh,Housing (Urban),8.70,
2017-18,Maharashtra,Housing (Urban),6.20,
2017-18,Manipur,Housing (Urban),5.70,
2017-18,Meghalaya,Housing (Urban),2.60,
2017-18,Mizoram,Housing (Urban),0.90,
2017-18,Nagaland,Housing (Urban),3.60,
2017-18,Odisha,Housing (Urban),5.00,
2017-18,Puducherry,Housing (Urban),2.60,
2017-18,Punjab,Housing (Urban),3.50,
2017-18,Rajasthan,Housing (Urban),7.60,
2017-18,Sikkim,Housing (Urban),5.80,
2017-18,Tamil Nadu,Housing (Urban),6.30,
2017-18,Telangana,Housing (Urban),5.30,
2017-18,Tripura,Housing (Urban),9.60,
2017-18,Uttar Pradesh,Housing (Urban),10.10,
2017-18,Uttarakhand,Housing (Urban),9.40,
2017-18,West Bengal,Housing (Urban),6.50,
2017-18,ALL INDIA,Housing (Urban),6.50,
2016-17,Andaman and Nicobar Islands,General,6.20,
2016-17,Andhra Pradesh,General,5.20,
2016-17,Assam,General,2.60,
2016-17,Bihar,General,3.90,
2016-17,Chandigarh,General,3.90,
2016-17,Chhattisgarh,General,3.50,
2016-17,Dadra and Nagar Haveli,General,5.60,
2016-17,Daman and Diu,General,5.00,
2016-17,Delhi,General,5.30,
2016-17,Goa,General,5.10,
2016-17,Gujarat,General,5.10,
2016-17,Haryana,General,4.40,
2016-17,Himachal Pradesh,General,4.60,
2016-17,Jammu and Kashmir,General,5.30,
2016-17,Jharkhand,General,5.30,
2016-17,Karnataka,General,4.40,
2016-17,Kerala,General,4.30,
2016-17,Lakshadweep,General,1.10,
2016-17,Madhya Pradesh,General,3.50,
2016-17,Maharashtra,General,4.40,
2016-17,Manipur,General,10.10,
