fiscal_year,state,category,percentage,unit
2024-25,Goa,Housing (Urban),2.40,
2024-25,Gujarat,Housing (Urban),2.10,
2024-25,Haryana,Housing (Urban),4.20,
2024-25,Himachal Pradesh,Housing (Urban),1.20,
2024-25,Jammu and Kashmir,Housing (Urban),1.80,
2024-25,Jharkhand,Housing (Urban),2.20,
2024-25,Karnataka,Housing (Urban),2.50,
2024-25,Kerala,Housing (Urban),2.00,
2024-25,Lakshadweep,Housing (Urban),6.60,
2024-25,Madhya Pradesh,Housing (Urban),2.10,
2024-25,Maharashtra,Housing (Urban),3.00,
2024-25,Manipur,Housing (Urban),0.40,
2024-25,Meghalaya,Housing (Urban),6.00,
2024-25,Mizoram,Housing (Urban),6.00,
2024-25,Nagaland,Housing (Urban),3.20,
2024-25,Odisha,Housing (Urban),3.90,
2024-25,Puducherry,Housing (Urban),2.40,
2024-25,Punjab,Housing (Urban),3.40,
2024-25,Rajasthan,Housing (Urban),3.10,
2024-25,Sikkim,Housing (Urban),5.00,
2024-25,Tamil Nadu,Housing (Urban),2.50,
2024-25,Telangana,Housing (Urban),3.60,
2024-25,Tripura,Housing (Urban),5.30,
2024-25,Uttar Pradesh,Housing (Urban),3.60,
2024-25,Uttarakhand,Housing (Urban),8.10,
2024-25,West Bengal,Housing (Urban),2.70,
2024-25,ALL INDIA,Housing (Urban),2.80,
2023-24,Andaman and Nicobar Islands,General,3.50,
2023-24,Andhra Pradesh,General,5.50,
2023-24,Assam,General,4.60,
2023-24,Bihar,General,5.80,
2023-24,Chandigarh,General,4.30,
2023-24,Chhattisgarh,General,3.40,
2023-24,Dadra and Nagar Haveli,General,6.50,
2023-24,Daman and Diu,General,4.80,
2023-24,Delhi,General,2.60,
2023-24,Goa,General,3.00,
2023-24,Gujarat,General,5.70,
2023-24,Haryana,General,6.60,
2023-24,Himachal Pradesh,General,5.00,
2023-24,Jammu and Kashmir,General,4.20,
2023-24,Jharkhand,General,5.70,
2023-24,Karnataka,General,5.80,
2023-24,Kerala,General,5.00,
2023-24,Lakshadweep,General,3.60,
2023-24,Madhya Pradesh,General,4.40,
2023-24,Maharashtra,General,5.10,
2023-24,Manipur,General,10.00,
2023-24,Meghalaya,General,4.10,
2023-24,Mizoram,General,4.50,
2023-24,Nagaland,General,3.40,
2023-24,Odisha,General,6.50,
2023-24,Puducherry,General,5.30,
2023-24,Punjab,General,5.50,
2023-24,Rajasthan,General,6.40,
2023-24,Sikkim,General,3.50,
2023-24,Tamil Nadu,General,5.40,
2023-24,Telangana,General,6.40,
2023-24,Tripura,General,6.10,
2023-24,Uttar Pradesh,General,5.80,
2023-24,Uttarakhand,General,5.60,
2023-24,West Bengal,General,4.50,
2023-24,ALL INDIA,General,5.40,
2023-24,Andaman and Nicobar Islands,Food and Beverages,4.40,
2023-24,Andhra Pradesh,Food and Beverages,7.30,
2023-24,Assam,Food and Beverages,4.90,
2023-24,Bihar,Food and Beverages,7.40,
2023-24,Chandigarh,Food and Beverages,6.70,
2023-24,Chhattisgarh,Food and Beverages,5.50,
2023-24,Dadra and Nagar Haveli,Food and Beverages,8.20,
2023-24,Daman and Diu,Food and Beverages,5.60,
2023-24,Delhi,Food and Beverages,5.80,
2023-24,Goa,Food and Beverages,4.10,
2023-24,Gujarat,Food and Beverages,7.20,
2023-24,Haryana,Food and Beverages,8.20,
2023-24,Himachal Pradesh,Food and Beverages,5.90,
2023-24,Jammu and Kashmir,Food and Beverages,3.40,
2023-24,Jharkhand,Food and Beverages,7.60,
2023-24,Karnataka,Food and Beverages,7.60,
2023-24,Kerala,Food and Beverages,4.60,
2023-24,Lakshadweep,Food and Beverages,3.40,
2023-24,Madhya Pradesh,Food and Beverages,8.50,
2023-24,Maharashtra,Food and Beverages,6.90,
2023-24,Manipur,Food and Beverages,15.90,
2023-24,Meghalaya,Food and Beverages,5.10,
2023-24,Mizoram,Food and Beverages,5.10,
2023-24,Nagaland,Food and Beverages,4.00,
2023-24,Odisha,Food and Beverages,8.40,
2023-24,Puducherry,Food and Beverages,6.40,
2023-24,Punjab,Food and Beverages,6.60,
2023-24,Rajasthan,Food and Beverages,6.90,
2023-24,Sikkim,Food and Beverages,5.70,
2023-24,Tamil Nadu,Food and Beverages,7.40,
2023-24,Telangana,Food and Beverages,8.50,
2023-24,Tripura,Food and Beverages,5.50,
2023-24,Uttar Pradesh,Food and Beverages,7.40,
2023-24,Uttarakhand,Food and Beverages,6.70,
2023-24,West Bengal,Food and Beverages,6.10,
2023-24,ALL INDIA,Food and Beverages,7.00,
2023-24,Andaman and Nicobar Islands,Fuel and Light,5.10,
2023-24,Andhra Pradesh,Fuel and Light,-0.80,
2023-24,Assam,Fuel and Light,5.10,
2023-24,Bihar,Fuel and Light,-0.60,
2023-24,Chandigarh,Fuel and Light,-2.50,
2023-24,Chhattisgarh,Fuel and Light,-2.00,
2023-24,Dadra and Nagar Haveli,Fuel and Light,3.80,
2023-24,Daman and Diu,Fuel and Light,-0.80,
2023-24,Delhi,Fuel and Light,-2.30,
2023-24,Goa,Fuel and Light,-3.50,
2023-24,Gujarat,Fuel and Light,2.80,
2023-24,Haryana,Fuel and Light,0.80,
