fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2025-26,2026,March,Daman and Diu,GST collected from State,SGST,0.06,amount in rupees crores,
2025-26,2026,March,Dadra and Nagar Haveli,GST collected from State,SGST,70.19,amount in rupees crores,
2025-26,2026,March,Maharashtra,GST collected from State,SGST,12751.58,amount in rupees crores,
2025-26,2026,March,Karnataka,GST collected from State,SGST,4746.22,amount in rupees crores,
2025-26,2026,March,Goa,GST collected from State,SGST,242.72,amount in rupees crores,
2025-26,2026,March,Lakshadweep,GST collected from State,SGST,1.7,amount in rupees crores,
2025-26,2026,March,Kerala,GST collected from State,SGST,1372.98,amount in rupees crores,
2025-26,2026,March,Tamil Nadu,GST collected from State,SGST,4194.6,amount in rupees crores,
2025-26,2026,March,Puducherry,GST collected from State,SGST,47.9,amount in rupees crores,
2025-26,2026,March,Andaman and Nicobar Islands,GST collected from State,SGST,32.36,amount in rupees crores,
2025-26,2026,March,Telangana,GST collected from State,SGST,2167.84,amount in rupees crores,
2025-26,2026,March,Andhra Pradesh,GST collected from State,SGST,1415.84,amount in rupees crores,
2025-26,2026,March,Ladakh,GST collected from State,SGST,18.38,amount in rupees crores,
2025-26,2026,March,Other Territory,GST collected from State,SGST,57.09,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,March,OIDAR,GST collected from State,SGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,March,Jammu and Kashmir,GST collected from State,IGST,117.5,amount in rupees crores,
2025-26,2026,March,Himachal Pradesh,GST collected from State,IGST,269.32,amount in rupees crores,
2025-26,2026,March,Punjab,GST collected from State,IGST,810.8,amount in rupees crores,
2025-26,2026,March,Chandigarh,GST collected from State,IGST,117.95,amount in rupees crores,
2025-26,2026,March,Uttarakhand,GST collected from State,IGST,681.27,amount in rupees crores,
2025-26,2026,March,Haryana,GST collected from State,IGST,7675.86,amount in rupees crores,
2025-26,2026,March,Delhi,GST collected from State,IGST,3386.11,amount in rupees crores,
2025-26,2026,March,Rajasthan,GST collected from State,IGST,1410.59,amount in rupees crores,
2025-26,2026,March,Uttar Pradesh,GST collected from State,IGST,3314.49,amount in rupees crores,
2025-26,2026,March,Bihar,GST collected from State,IGST,342.09,amount in rupees crores,
2025-26,2026,March,Sikkim,GST collected from State,IGST,94.1,amount in rupees crores,
2025-26,2026,March,Arunachal Pradesh,GST collected from State,IGST,15.08,amount in rupees crores,
2025-26,2026,March,Nagaland,GST collected from State,IGST,15.57,amount in rupees crores,
2025-26,2026,March,Manipur,GST collected from State,IGST,10.84,amount in rupees crores,
2025-26,2026,March,Mizoram,GST collected from State,IGST,6.18,amount in rupees crores,
2025-26,2026,March,Tripura,GST collected from State,IGST,17.44,amount in rupees crores,
2025-26,2026,March,Meghalaya,GST collected from State,IGST,72.03,amount in rupees crores,
2025-26,2026,March,Assam,GST collected from State,IGST,407.0,amount in rupees crores,
2025-26,2026,March,West Bengal,GST collected from State,IGST,1542.07,amount in rupees crores,
2025-26,2026,March,Jharkhand,GST collected from State,IGST,941.32,amount in rupees crores,
2025-26,2026,March,Odisha,GST collected from State,IGST,1407.55,amount in rupees crores,
2025-26,2026,March,Chhattisgarh,GST collected from State,IGST,958.78,amount in rupees crores,
2025-26,2026,March,Madhya Pradesh,GST collected from State,IGST,1085.56,amount in rupees crores,
2025-26,2026,March,Gujarat,GST collected from State,IGST,3987.58,amount in rupees crores,
2025-26,2026,March,Daman and Diu,GST collected from State,IGST,0.02,amount in rupees crores,
2025-26,2026,March,Dadra and Nagar Haveli,GST collected from State,IGST,236.96,amount in rupees crores,
2025-26,2026,March,Maharashtra,GST collected from State,IGST,10158.62,amount in rupees crores,
2025-26,2026,March,Karnataka,GST collected from State,IGST,5154.13,amount in rupees crores,
2025-26,2026,March,Goa,GST collected from State,IGST,139.36,amount in rupees crores,
2025-26,2026,March,Lakshadweep,GST collected from State,IGST,0.42,amount in rupees crores,
2025-26,2026,March,Kerala,GST collected from State,IGST,524.75,amount in rupees crores,
2025-26,2026,March,Tamil Nadu,GST collected from State,IGST,3520.13,amount in rupees crores,
