fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2023-24,2023,June,Andhra Pradesh,GST collected from State,Total Tax Collection,3477.42,amount in rupees crores,
2023-24,2023,June,Arunachal Pradesh,GST collected from State,Total Tax Collection,90.61,amount in rupees crores,
2023-24,2023,June,Assam,GST collected from State,Total Tax Collection,1213.05,amount in rupees crores,
2023-24,2023,June,Bihar,GST collected from State,Total Tax Collection,1437.06,amount in rupees crores,
2023-24,2023,June,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,Total Tax Collection,179.62,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,June,Chandigarh,GST collected from State,Total Tax Collection,227.07,amount in rupees crores,
2023-24,2023,June,Chhattisgarh,GST collected from State,Total Tax Collection,3012.04,amount in rupees crores,
2023-24,2023,June,Dadra and Nagar Haveli,GST collected from State,Total Tax Collection,339.32,amount in rupees crores,
2023-24,2023,June,Daman and Diu,GST collected from State,Total Tax Collection,0.7,amount in rupees crores,
2023-24,2023,June,Delhi,GST collected from State,Total Tax Collection,4744.12,amount in rupees crores,
2023-24,2023,June,Goa,GST collected from State,Total Tax Collection,480.44,amount in rupees crores,
2023-24,2023,June,Gujarat,GST collected from State,Total Tax Collection,10119.710000000001,amount in rupees crores,
2023-24,2023,June,Haryana,GST collected from State,Total Tax Collection,7988.1900000000005,amount in rupees crores,
2023-24,2023,June,Himachal Pradesh,GST collected from State,Total Tax Collection,840.61,amount in rupees crores,
2023-24,2023,June,Jammu and Kashmir,GST collected from State,Total Tax Collection,588.6800000000001,amount in rupees crores,
2023-24,2023,June,Jharkhand,GST collected from State,Total Tax Collection,2830.21,amount in rupees crores,
2023-24,2023,June,Karnataka,GST collected from State,Total Tax Collection,11193.2,amount in rupees crores,
2023-24,2023,June,Kerala,GST collected from State,Total Tax Collection,2725.09,amount in rupees crores,
2023-24,2023,June,Ladakh,GST collected from State,Total Tax Collection,14.559999999999999,amount in rupees crores,
2023-24,2023,June,Lakshadweep,GST collected from State,Total Tax Collection,21.86,amount in rupees crores,
2023-24,2023,June,Madhya Pradesh,GST collected from State,Total Tax Collection,3385.21,amount in rupees crores,
2023-24,2023,June,Maharashtra,GST collected from State,Total Tax Collection,26098.78,amount in rupees crores,
2023-24,2023,June,Manipur,GST collected from State,Total Tax Collection,60.36,amount in rupees crores,
2023-24,2023,June,Meghalaya,GST collected from State,Total Tax Collection,194.15,amount in rupees crores,
2023-24,2023,June,Mizoram,GST collected from State,Total Tax Collection,55.37,amount in rupees crores,
2023-24,2023,June,Nagaland,GST collected from State,Total Tax Collection,79.2,amount in rupees crores,
2023-24,2023,June,Odisha,GST collected from State,Total Tax Collection,4379.97,amount in rupees crores,
2023-24,2023,June,Other Territory,GST collected from State,Total Tax Collection,227.41,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,June,Puducherry,GST collected from State,Total Tax Collection,210.38,amount in rupees crores,
2023-24,2023,June,Punjab,GST collected from State,Total Tax Collection,1965.93,amount in rupees crores,
2023-24,2023,June,Rajasthan,GST collected from State,Total Tax Collection,3892.0,amount in rupees crores,
2023-24,2023,June,Sikkim,GST collected from State,Total Tax Collection,287.51,amount in rupees crores,
2023-24,2023,June,Tamil Nadu,GST collected from State,Total Tax Collection,9600.64,amount in rupees crores,
2023-24,2023,June,Telangana,GST collected from State,Total Tax Collection,4681.39,amount in rupees crores,
2023-24,2023,June,Tripura,GST collected from State,Total Tax Collection,75.16,amount in rupees crores,
2023-24,2023,June,Uttar Pradesh,GST collected from State,Total Tax Collection,8104.15,amount in rupees crores,
2023-24,2023,June,Uttarakhand,GST collected from State,Total Tax Collection,1522.5500000000002,amount in rupees crores,
2023-24,2023,June,West Bengal,GST collected from State,Total Tax Collection,5053.87,amount in rupees crores,
2023-24,2023,May,Jammu and Kashmir,GST collected from State,CGST,114.27,amount in rupees crores,
2023-24,2023,May,Himachal Pradesh,GST collected from State,CGST,138.72,amount in rupees crores,
2023-24,2023,May,Punjab,GST collected from State,CGST,406.31,amount in rupees crores,
2023-24,2023,May,Chandigarh,GST collected from State,CGST,36.95,amount in rupees crores,
2023-24,2023,May,Uttarakhand,GST collected from State,CGST,307.4,amount in rupees crores,
2023-24,2023,May,Haryana,GST collected from State,CGST,1227.5,amount in rupees crores,
2023-24,2023,May,Delhi,GST collected from State,CGST,1117.48,amount in rupees crores,
2023-24,2023,May,Rajasthan,GST collected from State,CGST,1077.56,amount in rupees crores,
2023-24,2023,May,Uttar Pradesh,GST collected from State,CGST,1744.59,amount in rupees crores,
2023-24,2023,May,Bihar,GST collected from State,CGST,365.17,amount in rupees crores,
2023-24,2023,May,Sikkim,GST collected from State,CGST,25.83,amount in rupees crores,
2023-24,2023,May,Arunachal Pradesh,GST collected from State,CGST,49.56,amount in rupees crores,
2023-24,2023,May,Nagaland,GST collected from State,CGST,15.44,amount in rupees crores,
2023-24,2023,May,Manipur,GST collected from State,CGST,13.33,amount in rupees crores,
2023-24,2023,May,Mizoram,GST collected from State,CGST,13.72,amount in rupees crores,
2023-24,2023,May,Tripura,GST collected from State,CGST,27.76,amount in rupees crores,
2023-24,2023,May,Meghalaya,GST collected from State,CGST,42.55,amount in rupees crores,
2023-24,2023,May,Assam,GST collected from State,CGST,356.19,amount in rupees crores,
2023-24,2023,May,West Bengal,GST collected from State,CGST,1625.34,amount in rupees crores,
2023-24,2023,May,Jharkhand,GST collected from State,CGST,434.03,amount in rupees crores,
2023-24,2023,May,Odisha,GST collected from State,CGST,1029.25,amount in rupees crores,
2023-24,2023,May,Chhattisgarh,GST collected from State,CGST,471.03,amount in rupees crores,
2023-24,2023,May,Madhya Pradesh,GST collected from State,CGST,764.11,amount in rupees crores,
2023-24,2023,May,Gujarat,GST collected from State,CGST,2729.13,amount in rupees crores,
2023-24,2023,May,Daman and Diu,GST collected from State,CGST,0.01,amount in rupees crores,
2023-24,2023,May,Dadra and Nagar Haveli,GST collected from State,CGST,35.84,amount in rupees crores,
2023-24,2023,May,Maharashtra,GST collected from State,CGST,6480.71,amount in rupees crores,
2023-24,2023,May,Karnataka,GST collected from State,CGST,2462.85,amount in rupees crores,
2023-24,2023,May,Goa,GST collected from State,CGST,136.32,amount in rupees crores,
2023-24,2023,May,Lakshadweep,GST collected from State,CGST,0.07,amount in rupees crores,
2023-24,2023,May,Kerala,GST collected from State,CGST,802.24,amount in rupees crores,
2023-24,2023,May,Tamil Nadu,GST collected from State,CGST,2398.49,amount in rupees crores,
2023-24,2023,May,Puducherry,GST collected from State,CGST,23.75,amount in rupees crores,
2023-24,2023,May,Andaman and Nicobar Islands,GST collected from State,CGST,11.82,amount in rupees crores,
2023-24,2023,May,Telangana,GST collected from State,CGST,1104.21,amount in rupees crores,
2023-24,2023,May,Andhra Pradesh,GST collected from State,CGST,801.16,amount in rupees crores,
2023-24,2023,May,Ladakh,GST collected from State,CGST,11.12,amount in rupees crores,
2023-24,2023,May,Other Territory,GST collected from State,CGST,8.86,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,May,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,May,Jammu and Kashmir,GST collected from State,SGST,178.17,amount in rupees crores,
2023-24,2023,May,Himachal Pradesh,GST collected from State,SGST,188.75,amount in rupees crores,
2023-24,2023,May,Punjab,GST collected from State,SGST,638.02,amount in rupees crores,
2023-24,2023,May,Chandigarh,GST collected from State,SGST,48.26,amount in rupees crores,
2023-24,2023,May,Uttarakhand,GST collected from State,SGST,411.49,amount in rupees crores,
2023-24,2023,May,Haryana,GST collected from State,SGST,1543.74,amount in rupees crores,
2023-24,2023,May,Delhi,GST collected from State,SGST,1295.06,amount in rupees crores,
2023-24,2023,May,Rajasthan,GST collected from State,SGST,1385.88,amount in rupees crores,
2023-24,2023,May,Uttar Pradesh,GST collected from State,SGST,2383.89,amount in rupees crores,
2023-24,2023,May,Bihar,GST collected from State,SGST,623.01,amount in rupees crores,
2023-24,2023,May,Sikkim,GST collected from State,SGST,30.59,amount in rupees crores,
2023-24,2023,May,Arunachal Pradesh,GST collected from State,SGST,60.13,amount in rupees crores,
2023-24,2023,May,Nagaland,GST collected from State,SGST,21.15,amount in rupees crores,
2023-24,2023,May,Manipur,GST collected from State,SGST,23.45,amount in rupees crores,
2023-24,2023,May,Mizoram,GST collected from State,SGST,20.89,amount in rupees crores,
2023-24,2023,May,Tripura,GST collected from State,SGST,39.55,amount in rupees crores,
2023-24,2023,May,Meghalaya,GST collected from State,SGST,55.6,amount in rupees crores,
2023-24,2023,May,Assam,GST collected from State,SGST,487.5,amount in rupees crores,
2023-24,2023,May,West Bengal,GST collected from State,SGST,1952.4,amount in rupees crores,
2023-24,2023,May,Jharkhand,GST collected from State,SGST,653.44,amount in rupees crores,
2023-24,2023,May,Odisha,GST collected from State,SGST,1254.92,amount in rupees crores,
2023-24,2023,May,Chhattisgarh,GST collected from State,SGST,582.57,amount in rupees crores,
2023-24,2023,May,Madhya Pradesh,GST collected from State,SGST,987.45,amount in rupees crores,
2023-24,2023,May,Gujarat,GST collected from State,SGST,3371.18,amount in rupees crores,
2023-24,2023,May,Daman and Diu,GST collected from State,SGST,0.01,amount in rupees crores,
2023-24,2023,May,Dadra and Nagar Haveli,GST collected from State,SGST,47.03,amount in rupees crores,
2023-24,2023,May,Maharashtra,GST collected from State,SGST,7620.58,amount in rupees crores,
2023-24,2023,May,Karnataka,GST collected from State,SGST,3022.24,amount in rupees crores,
2023-24,2023,May,Goa,GST collected from State,SGST,182.47,amount in rupees crores,
2023-24,2023,May,Lakshadweep,GST collected from State,SGST,0.09,amount in rupees crores,
2023-24,2023,May,Kerala,GST collected from State,SGST,1040.19,amount in rupees crores,
2023-24,2023,May,Tamil Nadu,GST collected from State,SGST,3101.15,amount in rupees crores,
2023-24,2023,May,Puducherry,GST collected from State,SGST,36.04,amount in rupees crores,
2023-24,2023,May,Andaman and Nicobar Islands,GST collected from State,SGST,15.15,amount in rupees crores,
2023-24,2023,May,Telangana,GST collected from State,SGST,1448.15,amount in rupees crores,
2023-24,2023,May,Andhra Pradesh,GST collected from State,SGST,1048.17,amount in rupees crores,
2023-24,2023,May,Ladakh,GST collected from State,SGST,13.72,amount in rupees crores,
2023-24,2023,May,Other Territory,GST collected from State,SGST,15.86,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,May,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,May,Jammu and Kashmir,GST collected from State,IGST,119.75,amount in rupees crores,
2023-24,2023,May,Himachal Pradesh,GST collected from State,IGST,499.13,amount in rupees crores,
2023-24,2023,May,Punjab,GST collected from State,IGST,663.11,amount in rupees crores,
2023-24,2023,May,Chandigarh,GST collected from State,IGST,171.78,amount in rupees crores,
2023-24,2023,May,Uttarakhand,GST collected from State,IGST,702.97,amount in rupees crores,
2023-24,2023,May,Haryana,GST collected from State,IGST,4053.2,amount in rupees crores,
2023-24,2023,May,Delhi,GST collected from State,IGST,2622.68,amount in rupees crores,
2023-24,2023,May,Rajasthan,GST collected from State,IGST,1337.91,amount in rupees crores,
2023-24,2023,May,Uttar Pradesh,GST collected from State,IGST,2270.8,amount in rupees crores,
2023-24,2023,May,Bihar,GST collected from State,IGST,175.35,amount in rupees crores,
2023-24,2023,May,Sikkim,GST collected from State,IGST,277.96,amount in rupees crores,
2023-24,2023,May,Arunachal Pradesh,GST collected from State,IGST,10.36,amount in rupees crores,
2023-24,2023,May,Nagaland,GST collected from State,IGST,10.76,amount in rupees crores,
2023-24,2023,May,Manipur,GST collected from State,IGST,2.45,amount in rupees crores,
2023-24,2023,May,Mizoram,GST collected from State,IGST,3.38,amount in rupees crores,
2023-24,2023,May,Tripura,GST collected from State,IGST,7.04,amount in rupees crores,
2023-24,2023,May,Meghalaya,GST collected from State,IGST,113.41,amount in rupees crores,
2023-24,2023,May,Assam,GST collected from State,IGST,322.41,amount in rupees crores,
2023-24,2023,May,West Bengal,GST collected from State,IGST,1197.47,amount in rupees crores,
2023-24,2023,May,Jharkhand,GST collected from State,IGST,904.45,amount in rupees crores,
2023-24,2023,May,Odisha,GST collected from State,IGST,1337.55,amount in rupees crores,
2023-24,2023,May,Chhattisgarh,GST collected from State,IGST,821.4,amount in rupees crores,
2023-24,2023,May,Madhya Pradesh,GST collected from State,IGST,947.92,amount in rupees crores,
2023-24,2023,May,Gujarat,GST collected from State,IGST,3025.07,amount in rupees crores,
2023-24,2023,May,Daman and Diu,GST collected from State,IGST,0.08,amount in rupees crores,
2023-24,2023,May,Dadra and Nagar Haveli,GST collected from State,IGST,239.74,amount in rupees crores,
2023-24,2023,May,Maharashtra,GST collected from State,IGST,7620.23,amount in rupees crores,
2023-24,2023,May,Karnataka,GST collected from State,IGST,3582.08,amount in rupees crores,
2023-24,2023,May,Goa,GST collected from State,IGST,200.55,amount in rupees crores,
2023-24,2023,May,Lakshadweep,GST collected from State,IGST,1.92,amount in rupees crores,
2023-24,2023,May,Kerala,GST collected from State,IGST,451.68,amount in rupees crores,
2023-24,2023,May,Tamil Nadu,GST collected from State,IGST,2783.83,amount in rupees crores,
2023-24,2023,May,Puducherry,GST collected from State,IGST,142.41,amount in rupees crores,
2023-24,2023,May,Andaman and Nicobar Islands,GST collected from State,IGST,3.3,amount in rupees crores,
2023-24,2023,May,Telangana,GST collected from State,IGST,1391.22,amount in rupees crores,
2023-24,2023,May,Andhra Pradesh,GST collected from State,IGST,1210.76,amount in rupees crores,
2023-24,2023,May,Ladakh,GST collected from State,IGST,1.53,amount in rupees crores,
2023-24,2023,May,Other Territory,GST collected from State,IGST,175.97,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,May,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,IGST,187.46,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,May,Jammu and Kashmir,GST collected from State,CESS,9.65,amount in rupees crores,
2023-24,2023,May,Himachal Pradesh,GST collected from State,CESS,1.85,amount in rupees crores,
2023-24,2023,May,Punjab,GST collected from State,CESS,37.04,amount in rupees crores,
2023-24,2023,May,Chandigarh,GST collected from State,CESS,2.37,amount in rupees crores,
2023-24,2023,May,Uttarakhand,GST collected from State,CESS,9.32,amount in rupees crores,
2023-24,2023,May,Haryana,GST collected from State,CESS,425.5,amount in rupees crores,
2023-24,2023,May,Delhi,GST collected from State,CESS,112.22,amount in rupees crores,
2023-24,2023,May,Rajasthan,GST collected from State,CESS,122.23,amount in rupees crores,
2023-24,2023,May,Uttar Pradesh,GST collected from State,CESS,1069.08,amount in rupees crores,
2023-24,2023,May,Bihar,GST collected from State,CESS,202.36,amount in rupees crores,
2023-24,2023,May,Sikkim,GST collected from State,CESS,0.04,amount in rupees crores,
2023-24,2023,May,Arunachal Pradesh,GST collected from State,CESS,0.24,amount in rupees crores,
2023-24,2023,May,Nagaland,GST collected from State,CESS,4.64,amount in rupees crores,
2023-24,2023,May,Manipur,GST collected from State,CESS,0.2,amount in rupees crores,
2023-24,2023,May,Mizoram,GST collected from State,CESS,0.03,amount in rupees crores,
2023-24,2023,May,Tripura,GST collected from State,CESS,0.32,amount in rupees crores,
2023-24,2023,May,Meghalaya,GST collected from State,CESS,2.74,amount in rupees crores,
2023-24,2023,May,Assam,GST collected from State,CESS,51.05,amount in rupees crores,
2023-24,2023,May,West Bengal,GST collected from State,CESS,387.08,amount in rupees crores,
2023-24,2023,May,Jharkhand,GST collected from State,CESS,592.44,amount in rupees crores,
2023-24,2023,May,Odisha,GST collected from State,CESS,776.01,amount in rupees crores,
2023-24,2023,May,Chhattisgarh,GST collected from State,CESS,649.79,amount in rupees crores,
2023-24,2023,May,Madhya Pradesh,GST collected from State,CESS,681.89,amount in rupees crores,
2023-24,2023,May,Gujarat,GST collected from State,CESS,674.5,amount in rupees crores,
2023-24,2023,May,Daman and Diu,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,May,Dadra and Nagar Haveli,GST collected from State,CESS,1.3,amount in rupees crores,
2023-24,2023,May,Maharashtra,GST collected from State,CESS,1814.91,amount in rupees crores,
2023-24,2023,May,Karnataka,GST collected from State,CESS,1249.57,amount in rupees crores,
2023-24,2023,May,Goa,GST collected from State,CESS,3.49,amount in rupees crores,
2023-24,2023,May,Lakshadweep,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,May,Kerala,GST collected from State,CESS,3.32,amount in rupees crores,
2023-24,2023,May,Tamil Nadu,GST collected from State,CESS,669.3,amount in rupees crores,
2023-24,2023,May,Puducherry,GST collected from State,CESS,0.1,amount in rupees crores,
2023-24,2023,May,Andaman and Nicobar Islands,GST collected from State,CESS,0.64,amount in rupees crores,
2023-24,2023,May,Telangana,GST collected from State,CESS,563.02,amount in rupees crores,
2023-24,2023,May,Andhra Pradesh,GST collected from State,CESS,313.11,amount in rupees crores,
2023-24,2023,May,Ladakh,GST collected from State,CESS,0.05,amount in rupees crores,
2023-24,2023,May,Other Territory,GST collected from State,CESS,0.0,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,May,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CESS,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,May,All India,GST collected from State,CESS,10431.4,amount in rupees crores,
2023-24,2023,May,All India,GST collected from State,CGST,28410.67,amount in rupees crores,
2023-24,2023,May,All India,GST collected from State,IGST,39591.07,amount in rupees crores,
2023-24,2023,May,All India,GST collected from State,SGST,35827.94,amount in rupees crores,
2023-24,2023,May,All India,GST collected from State,Total Tax Collection,114261.08,amount in rupees crores,
2023-24,2023,May,Andaman and Nicobar Islands,GST collected from State,Total Tax Collection,30.91,amount in rupees crores,
2023-24,2023,May,Andhra Pradesh,GST collected from State,Total Tax Collection,3373.2,amount in rupees crores,
2023-24,2023,May,Arunachal Pradesh,GST collected from State,Total Tax Collection,120.29,amount in rupees crores,
2023-24,2023,May,Assam,GST collected from State,Total Tax Collection,1217.15,amount in rupees crores,
2023-24,2023,May,Bihar,GST collected from State,Total Tax Collection,1365.89,amount in rupees crores,
2023-24,2023,May,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,Total Tax Collection,187.46,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,May,Chandigarh,GST collected from State,Total Tax Collection,259.36,amount in rupees crores,
2023-24,2023,May,Chhattisgarh,GST collected from State,Total Tax Collection,2524.79,amount in rupees crores,
2023-24,2023,May,Dadra and Nagar Haveli,GST collected from State,Total Tax Collection,323.91,amount in rupees crores,
2023-24,2023,May,Daman and Diu,GST collected from State,Total Tax Collection,0.1,amount in rupees crores,
2023-24,2023,May,Delhi,GST collected from State,Total Tax Collection,5147.44,amount in rupees crores,
2023-24,2023,May,Goa,GST collected from State,Total Tax Collection,522.83,amount in rupees crores,
2023-24,2023,May,Gujarat,GST collected from State,Total Tax Collection,9799.880000000001,amount in rupees crores,
2023-24,2023,May,Haryana,GST collected from State,Total Tax Collection,7249.94,amount in rupees crores,
2023-24,2023,May,Himachal Pradesh,GST collected from State,Total Tax Collection,828.45,amount in rupees crores,
2023-24,2023,May,Jammu and Kashmir,GST collected from State,Total Tax Collection,421.84,amount in rupees crores,
2023-24,2023,May,Jharkhand,GST collected from State,Total Tax Collection,2584.36,amount in rupees crores,
2023-24,2023,May,Karnataka,GST collected from State,Total Tax Collection,10316.74,amount in rupees crores,
2023-24,2023,May,Kerala,GST collected from State,Total Tax Collection,2297.4300000000003,amount in rupees crores,
2023-24,2023,May,Ladakh,GST collected from State,Total Tax Collection,26.419999999999998,amount in rupees crores,
2023-24,2023,May,Lakshadweep,GST collected from State,Total Tax Collection,2.08,amount in rupees crores,
2023-24,2023,May,Madhya Pradesh,GST collected from State,Total Tax Collection,3381.37,amount in rupees crores,
2023-24,2023,May,Maharashtra,GST collected from State,Total Tax Collection,23536.43,amount in rupees crores,
2023-24,2023,May,Manipur,GST collected from State,Total Tax Collection,39.43,amount in rupees crores,
2023-24,2023,May,Meghalaya,GST collected from State,Total Tax Collection,214.3,amount in rupees crores,
2023-24,2023,May,Mizoram,GST collected from State,Total Tax Collection,38.019999999999996,amount in rupees crores,
2023-24,2023,May,Nagaland,GST collected from State,Total Tax Collection,51.989999999999995,amount in rupees crores,
2023-24,2023,May,Odisha,GST collected from State,Total Tax Collection,4397.73,amount in rupees crores,
2023-24,2023,May,Other Territory,GST collected from State,Total Tax Collection,200.69,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,May,Puducherry,GST collected from State,Total Tax Collection,202.29999999999998,amount in rupees crores,
2023-24,2023,May,Punjab,GST collected from State,Total Tax Collection,1744.48,amount in rupees crores,
2023-24,2023,May,Rajasthan,GST collected from State,Total Tax Collection,3923.58,amount in rupees crores,
2023-24,2023,May,Sikkim,GST collected from State,Total Tax Collection,334.42,amount in rupees crores,
2023-24,2023,May,Tamil Nadu,GST collected from State,Total Tax Collection,8952.77,amount in rupees crores,
2023-24,2023,May,Telangana,GST collected from State,Total Tax Collection,4506.6,amount in rupees crores,
2023-24,2023,May,Tripura,GST collected from State,Total Tax Collection,74.67,amount in rupees crores,
2023-24,2023,May,Uttar Pradesh,GST collected from State,Total Tax Collection,7468.360000000001,amount in rupees crores,
2023-24,2023,May,Uttarakhand,GST collected from State,Total Tax Collection,1431.18,amount in rupees crores,
2023-24,2023,May,West Bengal,GST collected from State,Total Tax Collection,5162.29,amount in rupees crores,
2023-24,2023,April,Jammu and Kashmir,GST collected from State,CGST,285.02,amount in rupees crores,
2023-24,2023,April,Himachal Pradesh,GST collected from State,CGST,213.6,amount in rupees crores,
2023-24,2023,April,Punjab,GST collected from State,CGST,594.65,amount in rupees crores,
2023-24,2023,April,Chandigarh,GST collected from State,CGST,46.5,amount in rupees crores,
2023-24,2023,April,Uttarakhand,GST collected from State,CGST,387.32,amount in rupees crores,
2023-24,2023,April,Haryana,GST collected from State,CGST,1424.32,amount in rupees crores,
2023-24,2023,April,Delhi,GST collected from State,CGST,1358.48,amount in rupees crores,
2023-24,2023,April,Rajasthan,GST collected from State,CGST,1372.32,amount in rupees crores,
2023-24,2023,April,Uttar Pradesh,GST collected from State,CGST,2586.68,amount in rupees crores,
2023-24,2023,April,Bihar,GST collected from State,CGST,495.98,amount in rupees crores,
2023-24,2023,April,Sikkim,GST collected from State,CGST,78.76,amount in rupees crores,
2023-24,2023,April,Arunachal Pradesh,GST collected from State,CGST,100.84,amount in rupees crores,
2023-24,2023,April,Nagaland,GST collected from State,CGST,27.97,amount in rupees crores,
2023-24,2023,April,Manipur,GST collected from State,CGST,34.27,amount in rupees crores,
2023-24,2023,April,Mizoram,GST collected from State,CGST,25.38,amount in rupees crores,
2023-24,2023,April,Tripura,GST collected from State,CGST,49.43,amount in rupees crores,
2023-24,2023,April,Meghalaya,GST collected from State,CGST,51.14,amount in rupees crores,
2023-24,2023,April,Assam,GST collected from State,CGST,480.53,amount in rupees crores,
2023-24,2023,April,West Bengal,GST collected from State,CGST,1949.47,amount in rupees crores,
2023-24,2023,April,Jharkhand,GST collected from State,CGST,707.01,amount in rupees crores,
2023-24,2023,April,Odisha,GST collected from State,CGST,1400.05,amount in rupees crores,
2023-24,2023,April,Chhattisgarh,GST collected from State,CGST,757.91,amount in rupees crores,
2023-24,2023,April,Madhya Pradesh,GST collected from State,CGST,1004.45,amount in rupees crores,
2023-24,2023,April,Gujarat,GST collected from State,CGST,3436.53,amount in rupees crores,
2023-24,2023,April,Daman and Diu,GST collected from State,CGST,0.0,amount in rupees crores,
2023-24,2023,April,Dadra and Nagar Haveli,GST collected from State,CGST,46.0,amount in rupees crores,
2023-24,2023,April,Maharashtra,GST collected from State,CGST,9002.02,amount in rupees crores,
2023-24,2023,April,Karnataka,GST collected from State,CGST,3578.49,amount in rupees crores,
2023-24,2023,April,Goa,GST collected from State,CGST,177.24,amount in rupees crores,
2023-24,2023,April,Lakshadweep,GST collected from State,CGST,0.91,amount in rupees crores,
2023-24,2023,April,Kerala,GST collected from State,CGST,1023.57,amount in rupees crores,
2023-24,2023,April,Tamil Nadu,GST collected from State,CGST,3157.72,amount in rupees crores,
2023-24,2023,April,Puducherry,GST collected from State,CGST,28.07,amount in rupees crores,
2023-24,2023,April,Andaman and Nicobar Islands,GST collected from State,CGST,39.41,amount in rupees crores,
2023-24,2023,April,Telangana,GST collected from State,CGST,1417.89,amount in rupees crores,
2023-24,2023,April,Andhra Pradesh,GST collected from State,CGST,1059.28,amount in rupees crores,
2023-24,2023,April,Ladakh,GST collected from State,CGST,28.26,amount in rupees crores,
2023-24,2023,April,Other Territory,GST collected from State,CGST,12.75,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,April,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,April,Jammu and Kashmir,GST collected from State,SGST,394.05,amount in rupees crores,
2023-24,2023,April,Himachal Pradesh,GST collected from State,SGST,301.06,amount in rupees crores,
2023-24,2023,April,Punjab,GST collected from State,SGST,860.42,amount in rupees crores,
2023-24,2023,April,Chandigarh,GST collected from State,SGST,62.83,amount in rupees crores,
2023-24,2023,April,Uttarakhand,GST collected from State,SGST,554.33,amount in rupees crores,
2023-24,2023,April,Haryana,GST collected from State,SGST,1871.45,amount in rupees crores,
2023-24,2023,April,Delhi,GST collected from State,SGST,1637.88,amount in rupees crores,
2023-24,2023,April,Rajasthan,GST collected from State,SGST,1741.02,amount in rupees crores,
2023-24,2023,April,Uttar Pradesh,GST collected from State,SGST,3476.02,amount in rupees crores,
2023-24,2023,April,Bihar,GST collected from State,SGST,796.14,amount in rupees crores,
2023-24,2023,April,Sikkim,GST collected from State,SGST,110.17,amount in rupees crores,
2023-24,2023,April,Arunachal Pradesh,GST collected from State,SGST,122.08,amount in rupees crores,
2023-24,2023,April,Nagaland,GST collected from State,SGST,35.65,amount in rupees crores,
2023-24,2023,April,Manipur,GST collected from State,SGST,49.85,amount in rupees crores,
2023-24,2023,April,Mizoram,GST collected from State,SGST,40.78,amount in rupees crores,
2023-24,2023,April,Tripura,GST collected from State,SGST,69.95,amount in rupees crores,
2023-24,2023,April,Meghalaya,GST collected from State,SGST,69.48,amount in rupees crores,
2023-24,2023,April,Assam,GST collected from State,SGST,607.72,amount in rupees crores,
2023-24,2023,April,West Bengal,GST collected from State,SGST,2416.36,amount in rupees crores,
2023-24,2023,April,Jharkhand,GST collected from State,SGST,951.5,amount in rupees crores,
2023-24,2023,April,Odisha,GST collected from State,SGST,1659.57,amount in rupees crores,
2023-24,2023,April,Chhattisgarh,GST collected from State,SGST,879.53,amount in rupees crores,
2023-24,2023,April,Madhya Pradesh,GST collected from State,SGST,1286.62,amount in rupees crores,
2023-24,2023,April,Gujarat,GST collected from State,SGST,4064.5,amount in rupees crores,
2023-24,2023,April,Daman and Diu,GST collected from State,SGST,0.0,amount in rupees crores,
2023-24,2023,April,Dadra and Nagar Haveli,GST collected from State,SGST,61.59,amount in rupees crores,
