fiscal_year,quarter,service_area,region,type_of_connection,value,unit,note
2023-24,Q3,Assam,Urban,Broadband,6.75,value in Millions,
2023-24,Q3,Assam,Rural,Total,11.97,value in Millions,
2023-24,Q3,Assam,Urban,Total,6.85,value in Millions,
2023-24,Q3,Arunachal Pradesh,Rural,Narrowband,0.01,value in Millions,
2023-24,Q3,Arunachal Pradesh,Urban,Narrowband,0.01,value in Millions,
2023-24,Q3,Arunachal Pradesh,Rural,Broadband,0.5,value in Millions,
2023-24,Q3,Arunachal Pradesh,Urban,Broadband,0.34,value in Millions,
2023-24,Q3,Arunachal Pradesh,Rural,Total,0.51,value in Millions,
2023-24,Q3,Arunachal Pradesh,Urban,Total,0.35,value in Millions,
2023-24,Q3,Andhra Pradesh,Rural,Narrowband,0.64,value in Millions,
2023-24,Q3,Andhra Pradesh,Urban,Narrowband,0.57,value in Millions,
2023-24,Q3,Andhra Pradesh,Rural,Broadband,16.92,value in Millions,
2023-24,Q3,Andhra Pradesh,Urban,Broadband,16.77,value in Millions,
2023-24,Q3,Andhra Pradesh,Rural,Total,17.55,value in Millions,
2023-24,Q3,Andhra Pradesh,Urban,Total,17.34,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Rural,Narrowband,0.004,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Urban,Narrowband,0.001,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Rural,Broadband,0.28,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Urban,Broadband,0.17,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Rural,Total,0.28,value in Millions,
2023-24,Q3,Andaman and Nicobar Islands,Urban,Total,0.17,value in Millions,
2023-24,Q2,West Bengal,Rural,Narrowband,0.91,value in Millions,
2023-24,Q2,West Bengal,Urban,Narrowband,0.7,value in Millions,
2023-24,Q2,West Bengal,Rural,Broadband,22.97,value in Millions,
2023-24,Q2,West Bengal,Urban,Broadband,36.52,value in Millions,
2023-24,Q2,West Bengal,Rural,Total,23.88,value in Millions,
2023-24,Q2,West Bengal,Urban,Total,37.22,value in Millions,
2023-24,Q2,Uttarakhand,Rural,Narrowband,0.08,value in Millions,
2023-24,Q2,Uttarakhand,Urban,Narrowband,0.11,value in Millions,
2023-24,Q2,Uttarakhand,Rural,Broadband,4.34,value in Millions,
2023-24,Q2,Uttarakhand,Urban,Broadband,5.04,value in Millions,
2023-24,Q2,Uttarakhand,Rural,Total,4.42,value in Millions,
2023-24,Q2,Uttarakhand,Urban,Total,5.15,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Rural,Narrowband,2.67,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Urban,Narrowband,2.56,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Rural,Broadband,54.55,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Urban,Broadband,61.22,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Rural,Total,57.22,value in Millions,
2023-24,Q2,Uttar Pradesh East and West,Urban,Total,63.78,value in Millions,
2023-24,Q2,Tripura,Rural,Narrowband,0.03,value in Millions,
2023-24,Q2,Tripura,Urban,Narrowband,0.03,value in Millions,
2023-24,Q2,Tripura,Rural,Broadband,0.97,value in Millions,
2023-24,Q2,Tripura,Urban,Broadband,1.09,value in Millions,
2023-24,Q2,Tripura,Rural,Total,1.0,value in Millions,
2023-24,Q2,Tripura,Urban,Total,1.12,value in Millions,
2023-24,Q2,Total,Rural,Narrowband,13.76,value in Millions,
2023-24,Q2,Total,Urban,Narrowband,19.43,value in Millions,
2023-24,Q2,Total,Rural,Broadband,361.9,value in Millions,
2023-24,Q2,Total,Urban,Broadband,523.11,value in Millions,
2023-24,Q2,Total,Rural,Total,375.66,value in Millions,
2023-24,Q2,Total,Urban,Total,542.53,value in Millions,
2023-24,Q2,Telangana,Rural,Narrowband,0.48,value in Millions,
2023-24,Q2,Telangana,Urban,Narrowband,0.5,value in Millions,
2023-24,Q2,Telangana,Rural,Broadband,12.11,value in Millions,
2023-24,Q2,Telangana,Urban,Broadband,21.21,value in Millions,
2023-24,Q2,Telangana,Rural,Total,12.58,value in Millions,
2023-24,Q2,Telangana,Urban,Total,21.71,value in Millions,
2023-24,Q2,Tamil Nadu,Rural,Narrowband,0.72,value in Millions,
2023-24,Q2,Tamil Nadu,Urban,Narrowband,1.18,value in Millions,
2023-24,Q2,Tamil Nadu,Rural,Broadband,15.93,value in Millions,
2023-24,Q2,Tamil Nadu,Urban,Broadband,41.69,value in Millions,
2023-24,Q2,Tamil Nadu,Rural,Total,16.65,value in Millions,
2023-24,Q2,Tamil Nadu,Urban,Total,42.87,value in Millions,
2023-24,Q2,Sikkim,Rural,Narrowband,0.01,value in Millions,
2023-24,Q2,Sikkim,Urban,Narrowband,0.0,value in Millions,
2023-24,Q2,Sikkim,Rural,Broadband,0.37,value in Millions,
2023-24,Q2,Sikkim,Urban,Broadband,0.3,value in Millions,
2023-24,Q2,Sikkim,Rural,Total,0.38,value in Millions,
2023-24,Q2,Sikkim,Urban,Total,0.31,value in Millions,
2023-24,Q2,Rajasthan,Rural,Narrowband,0.69,value in Millions,
2023-24,Q2,Rajasthan,Urban,Narrowband,0.72,value in Millions,
2023-24,Q2,Rajasthan,Rural,Broadband,23.47,value in Millions,
2023-24,Q2,Rajasthan,Urban,Broadband,25.71,value in Millions,
2023-24,Q2,Rajasthan,Rural,Total,24.16,value in Millions,
2023-24,Q2,Rajasthan,Urban,Total,26.43,value in Millions,
2023-24,Q2,Punjab,Rural,Narrowband,0.24,value in Millions,
2023-24,Q2,Punjab,Urban,Narrowband,0.42,value in Millions,
2023-24,Q2,Punjab,Rural,Broadband,8.96,value in Millions,
2023-24,Q2,Punjab,Urban,Broadband,16.91,value in Millions,
2023-24,Q2,Punjab,Rural,Total,9.2,value in Millions,
2023-24,Q2,Punjab,Urban,Total,17.33,value in Millions,
2023-24,Q2,Puducherry,Rural,Narrowband,0.03,value in Millions,
2023-24,Q2,Puducherry,Urban,Narrowband,0.07,value in Millions,
2023-24,Q2,Puducherry,Rural,Broadband,0.32,value in Millions,
2023-24,Q2,Puducherry,Urban,Broadband,0.75,value in Millions,
2023-24,Q2,Puducherry,Rural,Total,0.35,value in Millions,
2023-24,Q2,Puducherry,Urban,Total,0.81,value in Millions,
2023-24,Q2,Odisha,Rural,Narrowband,0.4,value in Millions,
2023-24,Q2,Odisha,Urban,Narrowband,0.14,value in Millions,
2023-24,Q2,Odisha,Rural,Broadband,14.95,value in Millions,
2023-24,Q2,Odisha,Urban,Broadband,7.87,value in Millions,
2023-24,Q2,Odisha,Rural,Total,15.35,value in Millions,
2023-24,Q2,Odisha,Urban,Total,8.01,value in Millions,
2023-24,Q2,Nagaland,Rural,Narrowband,0.01,value in Millions,
2023-24,Q2,Nagaland,Urban,Narrowband,0.01,value in Millions,
2023-24,Q2,Nagaland,Rural,Broadband,0.92,value in Millions,
2023-24,Q2,Nagaland,Urban,Broadband,0.65,value in Millions,
2023-24,Q2,Nagaland,Rural,Total,0.94,value in Millions,
2023-24,Q2,Nagaland,Urban,Total,0.67,value in Millions,
2023-24,Q2,Mizoram,Rural,Narrowband,0.01,value in Millions,
2023-24,Q2,Mizoram,Urban,Narrowband,0.01,value in Millions,
2023-24,Q2,Mizoram,Rural,Broadband,0.48,value in Millions,
2023-24,Q2,Mizoram,Urban,Broadband,0.67,value in Millions,
2023-24,Q2,Mizoram,Rural,Total,0.49,value in Millions,
2023-24,Q2,Mizoram,Urban,Total,0.68,value in Millions,
2023-24,Q2,Meghalaya,Rural,Narrowband,0.02,value in Millions,
2023-24,Q2,Meghalaya,Urban,Narrowband,0.01,value in Millions,
2023-24,Q2,Meghalaya,Rural,Broadband,1.24,value in Millions,
2023-24,Q2,Meghalaya,Urban,Broadband,0.72,value in Millions,
2023-24,Q2,Meghalaya,Rural,Total,1.26,value in Millions,
2023-24,Q2,Meghalaya,Urban,Total,0.73,value in Millions,
2023-24,Q2,Manipur,Rural,Narrowband,0.02,value in Millions,
2023-24,Q2,Manipur,Urban,Narrowband,0.02,value in Millions,
2023-24,Q2,Manipur,Rural,Broadband,0.86,value in Millions,
2023-24,Q2,Manipur,Urban,Broadband,1.19,value in Millions,
2023-24,Q2,Manipur,Rural,Total,0.88,value in Millions,
2023-24,Q2,Manipur,Urban,Total,1.2,value in Millions,
2023-24,Q2,Maharashtra,Rural,Narrowband,0.93,value in Millions,
2023-24,Q2,Maharashtra,Urban,Narrowband,1.88,value in Millions,
2023-24,Q2,Maharashtra,Rural,Broadband,32.19,value in Millions,
2023-24,Q2,Maharashtra,Urban,Broadband,72.55,value in Millions,
2023-24,Q2,Maharashtra,Rural,Total,33.11,value in Millions,
2023-24,Q2,Maharashtra,Urban,Total,74.43,value in Millions,
2023-24,Q2,Madhya Pradesh,Rural,Narrowband,0.64,value in Millions,
2023-24,Q2,Madhya Pradesh,Urban,Narrowband,0.49,value in Millions,
2023-24,Q2,Madhya Pradesh,Rural,Broadband,18.31,value in Millions,
2023-24,Q2,Madhya Pradesh,Urban,Broadband,27.36,value in Millions,
2023-24,Q2,Madhya Pradesh,Rural,Total,18.95,value in Millions,
2023-24,Q2,Madhya Pradesh,Urban,Total,27.86,value in Millions,
2023-24,Q2,Lakshadweep,Rural,Narrowband,0.03,value in Millions,
2023-24,Q2,Lakshadweep,Urban,Narrowband,0.0,value in Millions,
2023-24,Q2,Lakshadweep,Rural,Broadband,0.02,value in Millions,
2023-24,Q2,Lakshadweep,Urban,Broadband,0.0,value in Millions,
2023-24,Q2,Lakshadweep,Rural,Total,0.05,value in Millions,
2023-24,Q2,Lakshadweep,Urban,Total,0.0,value in Millions,
2023-24,Q2,Ladakh,Rural,Narrowband,0.0,value in Millions,
2023-24,Q2,Ladakh,Urban,Narrowband,0.01,value in Millions,
2023-24,Q2,Ladakh,Rural,Broadband,0.28,value in Millions,
2023-24,Q2,Ladakh,Urban,Broadband,0.1,value in Millions,
2023-24,Q2,Ladakh,Rural,Total,0.28,value in Millions,
2023-24,Q2,Ladakh,Urban,Total,0.1,value in Millions,
2023-24,Q2,Kerala,Rural,Narrowband,0.48,value in Millions,
2023-24,Q2,Kerala,Urban,Narrowband,0.59,value in Millions,
2023-24,Q2,Kerala,Rural,Broadband,15.14,value in Millions,
2023-24,Q2,Kerala,Urban,Broadband,16.85,value in Millions,
2023-24,Q2,Kerala,Rural,Total,15.62,value in Millions,
2023-24,Q2,Kerala,Urban,Total,17.44,value in Millions,
2023-24,Q2,Karnataka,Rural,Narrowband,1.32,value in Millions,
2023-24,Q2,Karnataka,Urban,Narrowband,2.59,value in Millions,
2023-24,Q2,Karnataka,Rural,Broadband,18.72,value in Millions,
2023-24,Q2,Karnataka,Urban,Broadband,32.84,value in Millions,
2023-24,Q2,Karnataka,Rural,Total,20.04,value in Millions,
2023-24,Q2,Karnataka,Urban,Total,35.43,value in Millions,
2023-24,Q2,Jharkhand,Rural,Narrowband,0.29,value in Millions,
2023-24,Q2,Jharkhand,Urban,Narrowband,0.21,value in Millions,
2023-24,Q2,Jharkhand,Rural,Broadband,10.09,value in Millions,
2023-24,Q2,Jharkhand,Urban,Broadband,8.26,value in Millions,
2023-24,Q2,Jharkhand,Rural,Total,10.38,value in Millions,
2023-24,Q2,Jharkhand,Urban,Total,8.47,value in Millions,
2023-24,Q2,Jammu and Kashmir,Rural,Narrowband,0.12,value in Millions,
2023-24,Q2,Jammu and Kashmir,Urban,Narrowband,0.07,value in Millions,
2023-24,Q2,Jammu and Kashmir,Rural,Broadband,4.17,value in Millions,
2023-24,Q2,Jammu and Kashmir,Urban,Broadband,5.15,value in Millions,
2023-24,Q2,Jammu and Kashmir,Rural,Total,4.29,value in Millions,
2023-24,Q2,Jammu and Kashmir,Urban,Total,5.22,value in Millions,
2023-24,Q2,Himachal Pradesh,Rural,Narrowband,0.07,value in Millions,
2023-24,Q2,Himachal Pradesh,Urban,Narrowband,0.07,value in Millions,
2023-24,Q2,Himachal Pradesh,Rural,Broadband,3.88,value in Millions,
2023-24,Q2,Himachal Pradesh,Urban,Broadband,2.45,value in Millions,
2023-24,Q2,Himachal Pradesh,Rural,Total,3.95,value in Millions,
2023-24,Q2,Himachal Pradesh,Urban,Total,2.52,value in Millions,
2023-24,Q2,Haryana,Rural,Narrowband,0.28,value in Millions,
2023-24,Q2,Haryana,Urban,Narrowband,1.4,value in Millions,
2023-24,Q2,Haryana,Rural,Broadband,8.53,value in Millions,
2023-24,Q2,Haryana,Urban,Broadband,16.38,value in Millions,
2023-24,Q2,Haryana,Rural,Total,8.81,value in Millions,
2023-24,Q2,Haryana,Urban,Total,17.78,value in Millions,
2023-24,Q2,Gujarat,Rural,Narrowband,0.39,value in Millions,
2023-24,Q2,Gujarat,Urban,Narrowband,0.6,value in Millions,
2023-24,Q2,Gujarat,Rural,Broadband,17.27,value in Millions,
2023-24,Q2,Gujarat,Urban,Broadband,35.46,value in Millions,
2023-24,Q2,Gujarat,Rural,Total,17.66,value in Millions,
2023-24,Q2,Gujarat,Urban,Total,36.06,value in Millions,
2023-24,Q2,Goa,Rural,Narrowband,0.04,value in Millions,
2023-24,Q2,Goa,Urban,Narrowband,0.05,value in Millions,
2023-24,Q2,Goa,Rural,Broadband,0.72,value in Millions,
2023-24,Q2,Goa,Urban,Broadband,1.47,value in Millions,
2023-24,Q2,Goa,Rural,Total,0.77,value in Millions,
2023-24,Q2,Goa,Urban,Total,1.52,value in Millions,
2023-24,Q2,Delhi,Rural,Narrowband,0.26,value in Millions,
2023-24,Q2,Delhi,Urban,Narrowband,3.72,value in Millions,
2023-24,Q2,Delhi,Rural,Broadband,0.56,value in Millions,
2023-24,Q2,Delhi,Urban,Broadband,33.19,value in Millions,
2023-24,Q2,Delhi,Rural,Total,0.82,value in Millions,
2023-24,Q2,Delhi,Urban,Total,36.92,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Rural,Narrowband,0.01,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Urban,Narrowband,0.02,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Rural,Broadband,0.29,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Urban,Broadband,0.49,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Rural,Total,0.3,value in Millions,
2023-24,Q2,Dadra and Nagar Haveli,Urban,Total,0.51,value in Millions,
2023-24,Q2,Chhattisgarh,Rural,Narrowband,0.16,value in Millions,
2023-24,Q2,Chhattisgarh,Urban,Narrowband,0.13,value in Millions,
2023-24,Q2,Chhattisgarh,Rural,Broadband,7.63,value in Millions,
2023-24,Q2,Chhattisgarh,Urban,Broadband,8.13,value in Millions,
2023-24,Q2,Chhattisgarh,Rural,Total,7.79,value in Millions,
2023-24,Q2,Chhattisgarh,Urban,Total,8.26,value in Millions,
2023-24,Q2,Chandigarh,Rural,Narrowband,0.0,value in Millions,
2023-24,Q2,Chandigarh,Urban,Narrowband,0.02,value in Millions,
2023-24,Q2,Chandigarh,Rural,Broadband,0.05,value in Millions,
2023-24,Q2,Chandigarh,Urban,Broadband,1.29,value in Millions,
2023-24,Q2,Chandigarh,Rural,Total,0.05,value in Millions,
2023-24,Q2,Chandigarh,Urban,Total,1.31,value in Millions,
2023-24,Q2,Bihar,Rural,Narrowband,1.47,value in Millions,
2023-24,Q2,Bihar,Urban,Narrowband,0.39,value in Millions,
2023-24,Q2,Bihar,Rural,Broadband,32.99,value in Millions,
2023-24,Q2,Bihar,Urban,Broadband,16.13,value in Millions,
2023-24,Q2,Bihar,Rural,Total,34.46,value in Millions,
2023-24,Q2,Bihar,Urban,Total,16.52,value in Millions,
2023-24,Q2,Assam,Rural,Narrowband,0.26,value in Millions,
2023-24,Q2,Assam,Urban,Narrowband,0.11,value in Millions,
2023-24,Q2,Assam,Rural,Broadband,11.33,value in Millions,
2023-24,Q2,Assam,Urban,Broadband,6.7,value in Millions,
2023-24,Q2,Assam,Rural,Total,11.59,value in Millions,
2023-24,Q2,Assam,Urban,Total,6.81,value in Millions,
2023-24,Q2,Arunachal Pradesh,Rural,Narrowband,0.01,value in Millions,
2023-24,Q2,Arunachal Pradesh,Urban,Narrowband,0.01,value in Millions,
2023-24,Q2,Arunachal Pradesh,Rural,Broadband,0.47,value in Millions,
2023-24,Q2,Arunachal Pradesh,Urban,Broadband,0.33,value in Millions,
2023-24,Q2,Arunachal Pradesh,Rural,Total,0.48,value in Millions,
2023-24,Q2,Arunachal Pradesh,Urban,Total,0.34,value in Millions,
2023-24,Q2,Andhra Pradesh,Rural,Narrowband,0.66,value in Millions,
2023-24,Q2,Andhra Pradesh,Urban,Narrowband,0.59,value in Millions,
2023-24,Q2,Andhra Pradesh,Rural,Broadband,16.62,value in Millions,
2023-24,Q2,Andhra Pradesh,Urban,Broadband,16.21,value in Millions,
2023-24,Q2,Andhra Pradesh,Rural,Total,17.28,value in Millions,
2023-24,Q2,Andhra Pradesh,Urban,Total,16.8,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Rural,Narrowband,0.0,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Urban,Narrowband,0.0,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Rural,Broadband,0.21,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Urban,Broadband,0.21,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Rural,Total,0.21,value in Millions,
2023-24,Q2,Andaman and Nicobar Islands,Urban,Total,0.21,value in Millions,
2023-24,Q1,West Bengal,Rural,Narrowband,0.99,value in Millions,
2023-24,Q1,West Bengal,Urban,Narrowband,0.75,value in Millions,
2023-24,Q1,West Bengal,Rural,Broadband,22.22,value in Millions,
2023-24,Q1,West Bengal,Urban,Broadband,35.85,value in Millions,
2023-24,Q1,West Bengal,Rural,Total,23.22,value in Millions,
2023-24,Q1,West Bengal,Urban,Total,36.6,value in Millions,
2023-24,Q1,Uttarakhand,Rural,Narrowband,0.09,value in Millions,
2023-24,Q1,Uttarakhand,Urban,Narrowband,0.1,value in Millions,
2023-24,Q1,Uttarakhand,Rural,Broadband,4.29,value in Millions,
2023-24,Q1,Uttarakhand,Urban,Broadband,4.79,value in Millions,
2023-24,Q1,Uttarakhand,Rural,Total,4.37,value in Millions,
2023-24,Q1,Uttarakhand,Urban,Total,4.89,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Rural,Narrowband,2.79,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Urban,Narrowband,4.23,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Rural,Broadband,52.92,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Urban,Broadband,65.26,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Rural,Total,55.71,value in Millions,
2023-24,Q1,Uttar Pradesh East and West,Urban,Total,69.5,value in Millions,
2023-24,Q1,Tripura,Rural,Narrowband,0.03,value in Millions,
2023-24,Q1,Tripura,Urban,Narrowband,0.03,value in Millions,
2023-24,Q1,Tripura,Rural,Broadband,0.94,value in Millions,
2023-24,Q1,Tripura,Urban,Broadband,1.02,value in Millions,
2023-24,Q1,Tripura,Rural,Total,0.97,value in Millions,
2023-24,Q1,Tripura,Urban,Total,1.05,value in Millions,
2023-24,Q1,Total,Rural,Narrowband,14.44,value in Millions,
2023-24,Q1,Total,Urban,Narrowband,19.92,value in Millions,
2023-24,Q1,Total,Rural,Broadband,351.26,value in Millions,
2023-24,Q1,Total,Urban,Broadband,510.21,value in Millions,
2023-24,Q1,Total,Rural,Total,365.71,value in Millions,
2023-24,Q1,Total,Urban,Total,530.12,value in Millions,
2023-24,Q1,Telangana,Rural,Narrowband,0.51,value in Millions,
2023-24,Q1,Telangana,Urban,Narrowband,0.6,value in Millions,
2023-24,Q1,Telangana,Rural,Broadband,11.93,value in Millions,
2023-24,Q1,Telangana,Urban,Broadband,20.65,value in Millions,
2023-24,Q1,Telangana,Rural,Total,12.44,value in Millions,
2023-24,Q1,Telangana,Urban,Total,21.25,value in Millions,
2023-24,Q1,Tamil Nadu,Rural,Narrowband,0.72,value in Millions,
2023-24,Q1,Tamil Nadu,Urban,Narrowband,1.23,value in Millions,
2023-24,Q1,Tamil Nadu,Rural,Broadband,15.45,value in Millions,
2023-24,Q1,Tamil Nadu,Urban,Broadband,40.61,value in Millions,
2023-24,Q1,Tamil Nadu,Rural,Total,16.17,value in Millions,
2023-24,Q1,Tamil Nadu,Urban,Total,41.84,value in Millions,
2023-24,Q1,Sikkim,Rural,Narrowband,0.01,value in Millions,
2023-24,Q1,Sikkim,Urban,Narrowband,0.0,value in Millions,
2023-24,Q1,Sikkim,Rural,Broadband,0.35,value in Millions,
2023-24,Q1,Sikkim,Urban,Broadband,0.35,value in Millions,
2023-24,Q1,Sikkim,Rural,Total,0.36,value in Millions,
2023-24,Q1,Sikkim,Urban,Total,0.35,value in Millions,
2023-24,Q1,Rajasthan,Rural,Narrowband,0.76,value in Millions,
2023-24,Q1,Rajasthan,Urban,Narrowband,0.73,value in Millions,
2023-24,Q1,Rajasthan,Rural,Broadband,22.23,value in Millions,
2023-24,Q1,Rajasthan,Urban,Broadband,24.35,value in Millions,
2023-24,Q1,Rajasthan,Rural,Total,22.98,value in Millions,
2023-24,Q1,Rajasthan,Urban,Total,25.07,value in Millions,
2023-24,Q1,Punjab,Rural,Narrowband,0.25,value in Millions,
2023-24,Q1,Punjab,Urban,Narrowband,0.45,value in Millions,
2023-24,Q1,Punjab,Rural,Broadband,8.81,value in Millions,
2023-24,Q1,Punjab,Urban,Broadband,16.57,value in Millions,
2023-24,Q1,Punjab,Rural,Total,9.06,value in Millions,
2023-24,Q1,Punjab,Urban,Total,17.02,value in Millions,
2023-24,Q1,Puducherry,Rural,Narrowband,0.03,value in Millions,
2023-24,Q1,Puducherry,Urban,Narrowband,0.07,value in Millions,
2023-24,Q1,Puducherry,Rural,Broadband,0.31,value in Millions,
2023-24,Q1,Puducherry,Urban,Broadband,0.72,value in Millions,
2023-24,Q1,Puducherry,Rural,Total,0.34,value in Millions,
2023-24,Q1,Puducherry,Urban,Total,0.78,value in Millions,
2023-24,Q1,Odisha,Rural,Narrowband,0.42,value in Millions,
2023-24,Q1,Odisha,Urban,Narrowband,0.15,value in Millions,
2023-24,Q1,Odisha,Rural,Broadband,14.64,value in Millions,
2023-24,Q1,Odisha,Urban,Broadband,7.64,value in Millions,
2023-24,Q1,Odisha,Rural,Total,15.07,value in Millions,
2023-24,Q1,Odisha,Urban,Total,7.79,value in Millions,
2023-24,Q1,Nagaland,Rural,Narrowband,0.01,value in Millions,
2023-24,Q1,Nagaland,Urban,Narrowband,0.01,value in Millions,
2023-24,Q1,Nagaland,Rural,Broadband,0.9,value in Millions,
2023-24,Q1,Nagaland,Urban,Broadband,0.63,value in Millions,
2023-24,Q1,Nagaland,Rural,Total,0.91,value in Millions,
2023-24,Q1,Nagaland,Urban,Total,0.64,value in Millions,
2023-24,Q1,Mizoram,Rural,Narrowband,0.01,value in Millions,
2023-24,Q1,Mizoram,Urban,Narrowband,0.01,value in Millions,
2023-24,Q1,Mizoram,Rural,Broadband,0.47,value in Millions,
2023-24,Q1,Mizoram,Urban,Broadband,0.65,value in Millions,
2023-24,Q1,Mizoram,Rural,Total,0.48,value in Millions,
2023-24,Q1,Mizoram,Urban,Total,0.66,value in Millions,
2023-24,Q1,Meghalaya,Rural,Narrowband,0.02,value in Millions,
2023-24,Q1,Meghalaya,Urban,Narrowband,0.01,value in Millions,
2023-24,Q1,Meghalaya,Rural,Broadband,1.2,value in Millions,
2023-24,Q1,Meghalaya,Urban,Broadband,0.7,value in Millions,
2023-24,Q1,Meghalaya,Rural,Total,1.23,value in Millions,
2023-24,Q1,Meghalaya,Urban,Total,0.71,value in Millions,
2023-24,Q1,Manipur,Rural,Narrowband,0.02,value in Millions,
2023-24,Q1,Manipur,Urban,Narrowband,0.02,value in Millions,
2023-24,Q1,Manipur,Rural,Broadband,0.85,value in Millions,
2023-24,Q1,Manipur,Urban,Broadband,1.19,value in Millions,
2023-24,Q1,Manipur,Rural,Total,0.87,value in Millions,
2023-24,Q1,Manipur,Urban,Total,1.21,value in Millions,
2023-24,Q1,Maharashtra,Rural,Narrowband,0.99,value in Millions,
2023-24,Q1,Maharashtra,Urban,Narrowband,1.96,value in Millions,
2023-24,Q1,Maharashtra,Rural,Broadband,31.27,value in Millions,
2023-24,Q1,Maharashtra,Urban,Broadband,70.69,value in Millions,
2023-24,Q1,Maharashtra,Rural,Total,32.26,value in Millions,
2023-24,Q1,Maharashtra,Urban,Total,72.65,value in Millions,
2023-24,Q1,Madhya Pradesh,Rural,Narrowband,0.68,value in Millions,
2023-24,Q1,Madhya Pradesh,Urban,Narrowband,0.53,value in Millions,
2023-24,Q1,Madhya Pradesh,Rural,Broadband,17.67,value in Millions,
2023-24,Q1,Madhya Pradesh,Urban,Broadband,26.89,value in Millions,
2023-24,Q1,Madhya Pradesh,Rural,Total,18.35,value in Millions,
2023-24,Q1,Madhya Pradesh,Urban,Total,27.42,value in Millions,
2023-24,Q1,Lakshadweep,Rural,Narrowband,0.03,value in Millions,
2023-24,Q1,Lakshadweep,Urban,Narrowband,0.0,value in Millions,
2023-24,Q1,Lakshadweep,Rural,Broadband,0.02,value in Millions,
2023-24,Q1,Lakshadweep,Urban,Broadband,0.0,value in Millions,
2023-24,Q1,Lakshadweep,Rural,Total,0.05,value in Millions,
2023-24,Q1,Lakshadweep,Urban,Total,0.0,value in Millions,
2023-24,Q1,Ladakh,Rural,Narrowband,0.0,value in Millions,
2023-24,Q1,Ladakh,Urban,Narrowband,0.01,value in Millions,
2023-24,Q1,Ladakh,Rural,Broadband,0.27,value in Millions,
2023-24,Q1,Ladakh,Urban,Broadband,0.1,value in Millions,
2023-24,Q1,Ladakh,Rural,Total,0.27,value in Millions,
2023-24,Q1,Ladakh,Urban,Total,0.11,value in Millions,
2023-24,Q1,Kerala,Rural,Narrowband,0.53,value in Millions,
2023-24,Q1,Kerala,Urban,Narrowband,0.5,value in Millions,
2023-24,Q1,Kerala,Rural,Broadband,14.74,value in Millions,
2023-24,Q1,Kerala,Urban,Broadband,16.61,value in Millions,
2023-24,Q1,Kerala,Rural,Total,15.28,value in Millions,
2023-24,Q1,Kerala,Urban,Total,17.11,value in Millions,
2023-24,Q1,Karnataka,Rural,Narrowband,1.37,value in Millions,
2023-24,Q1,Karnataka,Urban,Narrowband,2.58,value in Millions,
2023-24,Q1,Karnataka,Rural,Broadband,18.19,value in Millions,
2023-24,Q1,Karnataka,Urban,Broadband,32.02,value in Millions,
2023-24,Q1,Karnataka,Rural,Total,19.56,value in Millions,
2023-24,Q1,Karnataka,Urban,Total,34.6,value in Millions,
2023-24,Q1,Jharkhand,Rural,Narrowband,0.29,value in Millions,
2023-24,Q1,Jharkhand,Urban,Narrowband,0.21,value in Millions,
2023-24,Q1,Jharkhand,Rural,Broadband,9.82,value in Millions,
2023-24,Q1,Jharkhand,Urban,Broadband,8.01,value in Millions,
2023-24,Q1,Jharkhand,Rural,Total,10.11,value in Millions,
2023-24,Q1,Jharkhand,Urban,Total,8.22,value in Millions,
2023-24,Q1,Jammu and Kashmir,Rural,Narrowband,0.12,value in Millions,
2023-24,Q1,Jammu and Kashmir,Urban,Narrowband,0.07,value in Millions,
2023-24,Q1,Jammu and Kashmir,Rural,Broadband,4.09,value in Millions,
2023-24,Q1,Jammu and Kashmir,Urban,Broadband,5.1,value in Millions,
2023-24,Q1,Jammu and Kashmir,Rural,Total,4.21,value in Millions,
2023-24,Q1,Jammu and Kashmir,Urban,Total,5.17,value in Millions,
2023-24,Q1,Himachal Pradesh,Rural,Narrowband,0.07,value in Millions,
2023-24,Q1,Himachal Pradesh,Urban,Narrowband,0.07,value in Millions,
