Sr. No.,State / Union Territory,Volume (in Mn),Volume Contribution,Value (in Cr.),Value Contribution,Month,Year
24,CHANDIGARH,26.58,0.0013,3188.55,0.0013,8,2025
25,ARUNACHAL PRADESH,21.4,0.0011,2707.2,0.0011,8,2025
26,PUDUCHERRY,18.83,0.0009,2548.23,0.001,8,2025
27,MEGHALAYA,15.91,0.0008,2008.23,0.0008,8,2025
28,MANIPUR,14.85,0.0007,2861.63,0.0012,8,2025
29,TRIPURA,14.59,0.0007,1874.19,0.0008,8,2025
30,NAGALAND,12.24,0.0006,1752.82,0.0007,8,2025
31,MIZORAM,11.86,0.0006,1704.97,0.0007,8,2025
32,DADRA & NAGAR HAVELI & DAMAN & DIU,10.82,0.0005,1112.7,0.0004,8,2025
33,SIKKIM,8.11,0.0004,988.11,0.0004,8,2025
34,LADAKH,4.48,0.0002,781.31,0.0003,8,2025
35,ANDAMAN & NICOBAR,3.77,0.0002,551.26,0.0002,8,2025
36,LAKSHADWEEP,0.56,0,55.68,0,8,2025
37,Unclassified#,8674.66,0.4336,970860.01,0.3906,8,2025
,MAHARASHTRA,1859.79,0.2098,260344.8,0.1839,4,2023
,KARNATAKA,772.62,0.0872,114007.15,0.0805,4,2023
,TELANGANA,683.07,0.0771,121761.16,0.086,4,2023
,UTTAR PRADESH,569.78,0.0643,87585.09,0.0619,4,2023
,TAMIL NADU,433.99,0.049,73484.77,0.0519,4,2023
,RAJASTHAN,391.83,0.0442,64347.76,0.0455,4,2023
,MADHYA PRADESH,375.53,0.0424,56076.31,0.0396,4,2023
,DELHI,330.04,0.0372,46799.01,0.0331,4,2023
,GUJARAT,280.81,0.0317,46154.94,0.0326,4,2023
,ANDHRA PRADESH,279.96,0.0316,59444.05,0.042,4,2023
,BIHAR,267.97,0.0302,48787.79,0.0345,4,2023
,WEST BENGAL,233.46,0.0263,43922.05,0.031,4,2023
,HARYANA,225.35,0.0254,35256.24,0.0249,4,2023
,KERALA,201.13,0.0227,31243.16,0.0221,4,2023
,ODISHA,184.79,0.0208,28296.73,0.02,4,2023
,PUNJAB,123.33,0.0139,21576.93,0.0152,4,2023
,JHARKHAND,93.42,0.0105,14905.34,0.0105,4,2023
,ASSAM,81.02,0.0091,14333.08,0.0101,4,2023
,UTTARAKHAND,79.24,0.0089,11091.58,0.0078,4,2023
,CHHATTISGARH,78.23,0.0088,11254.99,0.008,4,2023
,HIMACHAL PRADESH,34.96,0.0039,4786.04,0.0034,4,2023
,JAMMU AND KASHMIR,28.44,0.0032,4783.74,0.0034,4,2023
,GOA,20.03,0.0023,2988.02,0.0021,4,2023
,CHANDIGARH,18.64,0.0021,2531.42,0.0018,4,2023
,PUDUCHERRY,9.52,0.0011,1432.15,0.001,4,2023
,MANIPUR,8.19,0.0009,2155.67,0.0015,4,2023
,ARUNACHAL PRADESH,6.62,0.0007,1341.62,0.0009,4,2023
,DADRA & NAGAR HAVELI & DAMAN & DIU,5.67,0.0006,641.58,0.0005,4,2023
,TRIPURA,5.52,0.0006,993.56,0.0007,4,2023
,MEGHALAYA,4.26,0.0005,852.3,0.0006,4,2023
,NAGALAND,3.64,0.0004,982.4,0.0007,4,2023
,SIKKIM,3.44,0.0004,660.99,0.0005,4,2023
,MIZORAM,3.25,0.0004,774.43,0.0005,4,2023
,ANDAMAN & NICOBAR,1.6,0.0002,334.49,0.0002,4,2023
,LADAKH,1.39,0.0002,368.52,0.0003,4,2023
,LAKSHADWEEP,0.09,0,23.34,0,4,2023
,UNCLASSIFIED#,1162.65,0.1312,199181.5,0.1407,4,2023
1,MAHARASHTRA,2083.44,0.1854,289387.43,0.1663,11,2023
2,KARNATAKA,935.02,0.0832,132126.57,0.0759,11,2023
3,UTTAR PRADESH,786.83,0.07,118988.81,0.0684,11,2023
4,TELANGANA,764.77,0.0681,131905.47,0.0758,11,2023
5,TAMIL NADU,525.3,0.0468,87369.93,0.0502,11,2023
6,MADHYA PRADESH,510.51,0.0454,72171.99,0.0415,11,2023
7,RAJASTHAN,451.81,0.0402,74471.53,0.0428,11,2023
8,DELHI,431.73,0.0384,61568.09,0.0354,11,2023
9,ANDHRA PRADESH,376.19,0.0335,74054.42,0.0426,11,2023
10,BIHAR,375.47,0.0334,60451.55,0.0347,11,2023
11,GUJARAT,338.54,0.0301,58262.18,0.0335,11,2023
12,WEST BENGAL,312.97,0.0279,53753.8,0.0309,11,2023
13,HARYANA,279.29,0.0249,45139.63,0.0259,11,2023
14,KERALA,258.38,0.023,36759.86,0.0211,11,2023
15,ODISHA,244.19,0.0217,34247.19,0.0197,11,2023
16,PUNJAB,154.3,0.0137,28826.5,0.0166,11,2023
17,JHARKHAND,122.61,0.0109,17742.21,0.0102,11,2023
18,ASSAM,120.23,0.0107,17829.16,0.0102,11,2023
19,CHHATTISGARH,93.91,0.0084,13195.54,0.0076,11,2023
20,UTTARAKHAND,90.04,0.008,12869.19,0.0074,11,2023
21,HIMACHAL PRADESH,40.7,0.0036,5732.29,0.0033,11,2023
22,JAMMU AND KASHMIR,40.66,0.0036,6345.35,0.0036,11,2023
23,GOA,24.47,0.0022,3516.93,0.002,11,2023
24,CHANDIGARH,22.35,0.002,3189.81,0.0018,11,2023
25,PUDUCHERRY,11.83,0.0011,1749,0.001,11,2023
26,ARUNACHAL PRADESH,10.24,0.0009,1663.05,0.001,11,2023
27,TRIPURA,7.98,0.0007,1343.51,0.0008,11,2023
28,DADRA & NAGAR HAVELI & DAMAN & DIU,7.13,0.0006,835.34,0.0005,11,2023
29,MEGHALAYA,6.55,0.0006,1169.9,0.0007,11,2023
30,NAGALAND,5.82,0.0005,1349.79,0.0008,11,2023
31,MIZORAM,5.4,0.0005,1170.88,0.0007,11,2023
32,MANIPUR,4.29,0.0004,1434.65,0.0008,11,2023
33,SIKKIM,3.84,0.0003,662.18,0.0004,11,2023
34,ANDAMAN & NICOBAR,2.22,0.0002,427.62,0.0002,11,2023
35,LADAKH,1.71,0.0002,369.58,0.0002,11,2023
36,LAKSHADWEEP,0.2,0,32.3,0,11,2023
37,UNCLASSIFIED#,1784.35,0.1588,287627.38,0.1653,11,2023
1,MAHARASHTRA,1741.88,0.0947,211433.62,0.088,6,2025
2,KARNATAKA,1000.66,0.0544,134850.46,0.0561,6,2025
3,UTTAR PRADESH,972.29,0.0529,123844.58,0.0515,6,2025
4,TELANGANA,738.37,0.0401,118822.08,0.0494,6,2025
5,TAMIL NADU,699.34,0.038,105130.55,0.0437,6,2025
6,ANDHRA PRADESH,496.56,0.027,87072.27,0.0362,6,2025
7,RAJASTHAN,478.63,0.026,69889.1,0.0291,6,2025
8,GUJARAT,440.93,0.024,64058.92,0.0266,6,2025
9,DELHI,420.11,0.0228,50811.91,0.0211,6,2025
10,WEST BENGAL,396.75,0.0216,57448.44,0.0239,6,2025
11,BIHAR,393.05,0.0214,59059.01,0.0246,6,2025
12,MADHYA PRADESH,386.82,0.021,52055.1,0.0217,6,2025
13,HARYANA,361.02,0.0196,48951.4,0.0204,6,2025
14,KERALA,332.83,0.0181,46102.32,0.0192,6,2025
15,ODISHA,247.92,0.0135,31882.11,0.0133,6,2025
16,PUNJAB,187.82,0.0102,30674.02,0.0128,6,2025
17,ASSAM,181.11,0.0098,19849.88,0.0083,6,2025
18,JHARKHAND,155.8,0.0085,20667.56,0.0086,6,2025
19,CHHATTISGARH,120.57,0.0066,15492.34,0.0064,6,2025
20,UTTARAKHAND,110.35,0.006,13596.45,0.0057,6,2025
21,JAMMU AND KASHMIR,76.74,0.0042,9485.08,0.0039,6,2025
22,HIMACHAL PRADESH,58.14,0.0032,7262.4,0.003,6,2025
23,GOA,28.76,0.0016,4053.68,0.0017,6,2025
24,CHANDIGARH,22.92,0.0012,2742.47,0.0011,6,2025
25,ARUNACHAL PRADESH,17.84,0.001,2271.25,0.0009,6,2025
26,PUDUCHERRY,16.65,0.0009,2250.01,0.0009,6,2025
27,MEGHALAYA,13.25,0.0007,1743.02,0.0007,6,2025
28,TRIPURA,12.51,0.0007,1607.37,0.0007,6,2025
29,MANIPUR,10.79,0.0006,2212.05,0.0009,6,2025
30,NAGALAND,10.09,0.0005,1506.22,0.0006,6,2025
31,MIZORAM,9.9,0.0005,1501.27,0.0006,6,2025
32,DADRA & NAGAR HAVELI & DAMAN & DIU,9.47,0.0005,1020.22,0.0004,6,2025
33,SIKKIM,7.61,0.0004,973.53,0.0004,6,2025
34,LADAKH,4.21,0.0002,680.01,0.0003,6,2025
35,ANDAMAN & NICOBAR,3.23,0.0002,481.96,0.0002,6,2025
36,LAKSHADWEEP,0.49,0,47.78,0,6,2025
37,Unclassified#,8229.58,0.4474,1002400.27,0.417,6,2025
1,MAHARASHTRA,1827.94,0.1316,252008.51,0.1256,6,2024
2,KARNATAKA,1140.18,0.0821,158022.89,0.0787,6,2024
3,UTTAR PRADESH,1018.74,0.0734,133867.63,0.0667,6,2024
4,TELANGANA,878.6,0.0633,142465.64,0.071,6,2024
5,TAMIL NADU,663.61,0.0478,107352.87,0.0535,6,2024
6,RAJASTHAN,615.97,0.0444,90403.66,0.045,6,2024
7,MADHYA PRADESH,567.43,0.0409,75744.52,0.0377,6,2024
8,ANDHRA PRADESH,514.47,0.0371,94162.9,0.0469,6,2024
9,BIHAR,486.02,0.035,73741.4,0.0367,6,2024
10,DELHI,469.85,0.0338,56600.66,0.0282,6,2024
11,GUJARAT,452.59,0.0326,68664.93,0.0342,6,2024
12,WEST BENGAL,421.23,0.0303,68076.9,0.0339,6,2024
13,HARYANA,363.84,0.0262,50928.34,0.0254,6,2024
14,KERALA,312.74,0.0225,44455.91,0.0221,6,2024
15,ODISHA,311.53,0.0224,41961.3,0.0209,6,2024
16,PUNJAB,189.55,0.0137,31019.54,0.0155,6,2024
17,ASSAM,185.41,0.0134,22657.67,0.0113,6,2024
18,JHARKHAND,162.72,0.0117,22088.48,0.011,6,2024
19,CHHATTISGARH,135.97,0.0098,18173.83,0.0091,6,2024
20,UTTARAKHAND,107.43,0.0077,13873.68,0.0069,6,2024
21,JAMMU AND KASHMIR,66.81,0.0048,9257.4,0.0046,6,2024
22,HIMACHAL PRADESH,60.51,0.0044,7786.25,0.0039,6,2024
23,GOA,27.92,0.002,4020.18,0.002,6,2024
24,CHANDIGARH,27.18,0.002,3446.21,0.0017,6,2024
25,ARUNACHAL PRADESH,15.05,0.0011,2158.51,0.0011,6,2024
26,PUDUCHERRY,14.97,0.0011,2128.41,0.0011,6,2024
27,TRIPURA,10.8,0.0008,1581.02,0.0008,6,2024
28,MEGHALAYA,10.72,0.0008,1500.13,0.0007,6,2024
29,DADRA & NAGAR HAVELI & DAMAN & DIU,10.21,0.0007,1063.82,0.0005,6,2024
30,NAGALAND,9.46,0.0007,1682.06,0.0008,6,2024
31,MANIPUR,9.04,0.0007,2164.6,0.0011,6,2024
32,MIZORAM,7.02,0.0005,1313.47,0.0007,6,2024
33,SIKKIM,6.04,0.0004,934.34,0.0005,6,2024
34,LADAKH,3.87,0.0003,792.33,0.0004,6,2024
35,ANDAMAN & NICOBAR,2.9,0.0002,489.58,0.0002,6,2024
36,LAKSHADWEEP,0.35,0,40.58,0,6,2024
37,UNCLASSIFIED#,2776.47,0.2,400451.04,0.1995,6,2024
1,MAHARASHTRA,2156.02,0.2043,286792.45,0.1816,9,2023
2,KARNATAKA,896.89,0.085,125683.26,0.0796,9,2023
3,TELANGANA,713.29,0.0676,121128.45,0.0767,9,2023
4,UTTAR PRADESH,680.36,0.0645,95195.96,0.0603,9,2023
5,TAMIL NADU,521.85,0.0494,85968.46,0.0544,9,2023
6,MADHYA PRADESH,512.81,0.0486,69250.13,0.0439,9,2023
7,RAJASTHAN,431.28,0.0409,66104.53,0.0419,9,2023
8,DELHI,416.31,0.0394,55139.92,0.0349,9,2023
9,ANDHRA PRADESH,336.99,0.0319,67178.11,0.0425,9,2023
10,GUJARAT,319.31,0.0302,51590.99,0.0327,9,2023
11,BIHAR,305.39,0.0289,48595.98,0.0308,9,2023
12,WEST BENGAL,280.3,0.0266,48707.55,0.0308,9,2023
13,HARYANA,265.59,0.0252,39655.16,0.0251,9,2023
14,KERALA,237.42,0.0225,35412.25,0.0224,9,2023
15,ODISHA,224.43,0.0213,31146.94,0.0197,9,2023
16,PUNJAB,146.64,0.0139,24711.78,0.0156,9,2023
17,ASSAM,110.01,0.0104,15968.78,0.0101,9,2023
18,JHARKHAND,104.08,0.0099,14937.74,0.0095,9,2023
19,CHHATTISGARH,97.4,0.0092,12764.1,0.0081,9,2023
20,UTTARAKHAND,83.19,0.0079,11010.69,0.007,9,2023
21,HIMACHAL PRADESH,36.61,0.0035,5035.77,0.0032,9,2023
22,JAMMU AND KASHMIR,35.83,0.0034,5399.43,0.0034,9,2023
23,CHANDIGARH,21.45,0.002,2853.16,0.0018,9,2023
24,GOA,20.69,0.002,3017.62,0.0019,9,2023
25,PUDUCHERRY,11.4,0.0011,1688.3,0.0011,9,2023
26,ARUNACHAL PRADESH,9.41,0.0009,1498.65,0.0009,9,2023
27,TRIPURA,7.52,0.0007,1274.91,0.0008,9,2023
28,DADRA & NAGAR HAVELI & DAMAN & DIU,6.32,0.0006,718.59,0.0005,9,2023
29,NAGALAND,5.64,0.0005,1240.15,0.0008,9,2023
30,MEGHALAYA,5.41,0.0005,959.02,0.0006,9,2023
31,MIZORAM,4.6,0.0004,1000.59,0.0006,9,2023
32,SIKKIM,4.1,0.0004,683.81,0.0004,9,2023
33,MANIPUR,3.53,0.0003,1069.54,0.0007,9,2023
34,LADAKH,2.1,0.0002,481.1,0.0003,9,2023
35,ANDAMAN & NICOBAR,1.87,0.0002,347.87,0.0002,9,2023
36,LAKSHADWEEP,0.13,0,25.16,0,9,2023
37,UNCLASSIFIED#,1539.54,0.1458,244896.29,0.1551,9,2023
1,MAHARASHTRA,1779.25,0.1337,245463.14,0.125,4,2024
2,KARNATAKA,1095.55,0.0823,153489.72,0.0781,4,2024
3,UTTAR PRADESH,1007.12,0.0757,141875.13,0.0722,4,2024
4,TELANGANA,851.14,0.064,138376.57,0.0704,4,2024
5,TAMIL NADU,638.48,0.048,101057.95,0.0514,4,2024
6,RAJASTHAN,586.35,0.0441,89437.41,0.0455,4,2024
7,MADHYA PRADESH,581.87,0.0437,80171.32,0.0408,4,2024
8,ANDHRA PRADESH,513.63,0.0386,98416.61,0.0501,4,2024
9,BIHAR,475.94,0.0358,75106.9,0.0382,4,2024
10,DELHI,463.58,0.0348,58505.66,0.0298,4,2024
11,GUJARAT,431.65,0.0324,66727,0.034,4,2024
12,WEST BENGAL,387.08,0.0291,64939.85,0.0331,4,2024
13,HARYANA,349.9,0.0263,50557.95,0.0257,4,2024
14,KERALA,311.31,0.0234,44570.14,0.0227,4,2024
15,ODISHA,295.47,0.0222,40347.56,0.0205,4,2024
16,PUNJAB,187.49,0.0141,30985.4,0.0158,4,2024
17,ASSAM,171.13,0.0129,23893.99,0.0122,4,2024
18,JHARKHAND,158.97,0.0119,22618.61,0.0115,4,2024
19,CHHATTISGARH,129.73,0.0098,17607.35,0.009,4,2024
20,UTTARAKHAND,106.39,0.008,13493.01,0.0069,4,2024
21,JAMMU AND KASHMIR,60.25,0.0045,8502.35,0.0043,4,2024
22,HIMACHAL PRADESH,55.17,0.0041,6913.91,0.0035,4,2024
23,GOA,27.96,0.0021,3945.63,0.002,4,2024
24,CHANDIGARH,27.9,0.0021,3619.8,0.0018,4,2024
25,PUDUCHERRY,14.08,0.0011,2006.9,0.001,4,2024
26,ARUNACHAL PRADESH,12.69,0.001,2321.35,0.0012,4,2024
27,TRIPURA,10.75,0.0008,1653.37,0.0008,4,2024
28,MEGHALAYA,9.69,0.0007,1479.23,0.0008,4,2024
29,DADRA & NAGAR HAVELI & DAMAN & DIU,9.42,0.0007,990.81,0.0005,4,2024
30,MANIPUR,8.62,0.0006,2111.38,0.0011,4,2024
31,NAGALAND,8.16,0.0006,1632.88,0.0008,4,2024
32,MIZORAM,6.67,0.0005,1282.48,0.0007,4,2024
33,SIKKIM,5.39,0.0004,891,0.0005,4,2024
34,ANDAMAN & NICOBAR,3,0.0002,535.64,0.0003,4,2024
35,LADAKH,2.7,0.0002,532.87,0.0003,4,2024
36,LAKSHADWEEP,0.36,0,49.41,0,4,2024
37,UNCLASSIFIED#,2519.12,0.1894,368354.23,0.1875,4,2024
1,MAHARASHTRA,2382.34,0.1331,278375.41,0.1162,4,2025
2,KARNATAKA,1263.4,0.0706,173465.79,0.0724,4,2025
3,UTTAR PRADESH,1206.85,0.0674,159811.36,0.0667,4,2025
4,TELANGANA,949.72,0.0531,147127.52,0.0614,4,2025
5,TAMIL NADU,776.9,0.0434,115363.33,0.0482,4,2025
6,RAJASTHAN,668.4,0.0374,98142.13,0.041,4,2025
7,ANDHRA PRADESH,602.36,0.0337,105315.39,0.044,4,2025
8,BIHAR,577.79,0.0323,82713.97,0.0345,4,2025
9,MADHYA PRADESH,575.99,0.0322,77961.24,0.0326,4,2025
10,GUJARAT,538.57,0.0301,77374.37,0.0323,4,2025
11,DELHI,527,0.0295,64152.87,0.0268,4,2025
12,WEST BENGAL,500.08,0.0279,74892.26,0.0313,4,2025
13,HARYANA,410.35,0.0229,57581.17,0.024,4,2025
14,KERALA,362.28,0.0202,50824.24,0.0212,4,2025
15,ODISHA,362.01,0.0202,44717.27,0.0187,4,2025
16,ASSAM,218.83,0.0122,25997.91,0.0109,4,2025
17,PUNJAB,212.04,0.0119,34535.98,0.0144,4,2025
18,JHARKHAND,206.06,0.0115,28022.42,0.0117,4,2025
19,CHHATTISGARH,152.75,0.0085,19636.2,0.0082,4,2025
20,UTTARAKHAND,125.79,0.007,15444.37,0.0064,4,2025
21,JAMMU AND KASHMIR,88.43,0.0049,11544.77,0.0048,4,2025
22,HIMACHAL PRADESH,64.32,0.0036,7821.2,0.0033,4,2025
23,GOA,36.36,0.002,5041.14,0.0021,4,2025
24,CHANDIGARH,29.74,0.0017,3711.18,0.0015,4,2025
25,ARUNACHAL PRADESH,18.42,0.001,2612.54,0.0011,4,2025
26,PUDUCHERRY,17.44,0.001,2384.85,0.001,4,2025
27,MEGHALAYA,14.32,0.0008,1971.84,0.0008,4,2025
28,TRIPURA,13.94,0.0008,1936.41,0.0008,4,2025
29,MANIPUR,13.51,0.0008,2844.24,0.0012,4,2025
30,DADRA & NAGAR HAVELI & DAMAN & DIU,11.91,0.0007,1205.3,0.0005,4,2025
31,NAGALAND,10.89,0.0006,1769.78,0.0007,4,2025
32,MIZORAM,9.76,0.0005,1555.83,0.0006,4,2025
33,SIKKIM,8.65,0.0005,1221.5,0.0005,4,2025
34,ANDAMAN & NICOBAR,3.79,0.0002,619.48,0.0003,4,2025
35,LADAKH,3.63,0.0002,651.93,0.0003,4,2025
36,LAKSHADWEEP,0.5,0,60.39,0,4,2025
37,Unclassified#,4928.3,0.2756,616518.29,0.2576,4,2025
1,MAHARASHTRA,2119.31,0.2002,282946.53,0.1795,8,2023
2,KARNATAKA,924.36,0.0873,126876.33,0.0805,8,2023
3,TELANGANA,753.64,0.0712,127817.82,0.0811,8,2023
4,UTTAR PRADESH,678.37,0.0641,94133.08,0.0597,8,2023
5,TAMIL NADU,511.03,0.0483,84388.17,0.0535,8,2023
6,MADHYA PRADESH,502.8,0.0475,67895.74,0.0431,8,2023
7,RAJASTHAN,459.93,0.0434,69380.56,0.044,8,2023
8,DELHI,404.03,0.0382,52953.64,0.0336,8,2023
9,ANDHRA PRADESH,349.58,0.033,69909.85,0.0443,8,2023
10,GUJARAT,325.34,0.0307,51778.19,0.0328,8,2023
11,BIHAR,307.74,0.0291,47814.69,0.0303,8,2023
12,WEST BENGAL,286.09,0.027,48819.44,0.031,8,2023
13,HARYANA,255.9,0.0242,38322.05,0.0243,8,2023
14,KERALA,249.36,0.0236,37438.7,0.0237,8,2023
15,ODISHA,220.05,0.0208,30594.38,0.0194,8,2023
16,PUNJAB,147.14,0.0139,24812.53,0.0157,8,2023
17,ASSAM,105.93,0.01,15516.16,0.0098,8,2023
18,JHARKHAND,104.67,0.0099,14547.31,0.0092,8,2023
19,CHHATTISGARH,97.25,0.0092,12772.92,0.0081,8,2023
20,UTTARAKHAND,81.71,0.0077,10706.66,0.0068,8,2023
21,HIMACHAL PRADESH,35.23,0.0033,4698.18,0.003,8,2023
22,JAMMU AND KASHMIR,34.8,0.0033,5283.63,0.0034,8,2023
23,CHANDIGARH,21.26,0.002,2829.23,0.0018,8,2023
24,GOA,20.95,0.002,2970.56,0.0019,8,2023
25,PUDUCHERRY,11.56,0.0011,1708.52,0.0011,8,2023
26,ARUNACHAL PRADESH,8.78,0.0008,1434.45,0.0009,8,2023
27,TRIPURA,6.75,0.0006,1123.71,0.0007,8,2023
28,DADRA & NAGAR HAVELI & DAMAN & DIU,6.23,0.0006,698.87,0.0004,8,2023
29,MEGHALAYA,6.11,0.0006,1098.18,0.0007,8,2023
30,NAGALAND,5.5,0.0005,1245.07,0.0008,8,2023
31,MIZORAM,4.27,0.0004,939.12,0.0006,8,2023
32,SIKKIM,3.87,0.0004,644.83,0.0004,8,2023
33,MANIPUR,2.29,0.0002,770.73,0.0005,8,2023
34,LADAKH,2.05,0.0002,480.89,0.0003,8,2023
35,ANDAMAN & NICOBAR,1.84,0.0002,338.88,0.0002,8,2023
36,LAKSHADWEEP,0.11,0,23.1,0,8,2023
37,UNCLASSIFIED#,1530.17,0.1445,240823.86,0.1528,8,2023
1,MAHARASHTRA,2152.82,0.1052,250787.01,0.0953,11,2025
2,UTTAR PRADESH,1118.9,0.0547,152420.82,0.0579,11,2025
3,KARNATAKA,1105.63,0.054,150262.03,0.0571,11,2025
4,TELANGANA,851.25,0.0416,131369.55,0.0499,11,2025
5,TAMIL NADU,813.85,0.0398,123549.07,0.0469,11,2025
6,ANDHRA PRADESH,563.45,0.0275,93846.52,0.0357,11,2025
7,RAJASTHAN,530.23,0.0259,81243.65,0.0309,11,2025
8,GUJARAT,510.56,0.0249,76129.09,0.0289,11,2025
9,DELHI,491.14,0.024,64440.35,0.0245,11,2025
10,BIHAR,456.53,0.0223,66454.52,0.0253,11,2025
11,WEST BENGAL,449.67,0.022,65964.8,0.0251,11,2025
12,MADHYA PRADESH,444.92,0.0217,59792.96,0.0227,11,2025
13,KERALA,416.28,0.0203,57144.28,0.0217,11,2025
14,HARYANA,402.11,0.0196,58994.49,0.0224,11,2025
15,ODISHA,288.64,0.0141,36149.1,0.0137,11,2025
16,PUNJAB,221.74,0.0108,39570.9,0.015,11,2025
17,ASSAM,212.71,0.0104,23038.37,0.0088,11,2025
18,JHARKHAND,178.47,0.0087,23547.39,0.0089,11,2025
19,CHHATTISGARH,136.64,0.0067,17074.67,0.0065,11,2025
20,UTTARAKHAND,114.89,0.0056,14826.57,0.0056,11,2025
21,JAMMU AND KASHMIR,83.52,0.0041,11668.35,0.0044,11,2025
22,HIMACHAL PRADESH,58.58,0.0029,7825.51,0.003,11,2025
23,GOA,36.33,0.0018,5222.28,0.002,11,2025
24,CHANDIGARH,27.17,0.0013,3431.5,0.0013,11,2025
25,ARUNACHAL PRADESH,21.79,0.0011,2852.69,0.0011,11,2025
26,PUDUCHERRY,18.57,0.0009,2562.42,0.001,11,2025
27,MEGHALAYA,16.85,0.0008,2294.28,0.0009,11,2025
28,MANIPUR,15.77,0.0008,3133.61,0.0012,11,2025
29,TRIPURA,15.36,0.0008,2067.22,0.0008,11,2025
30,MIZORAM,13.33,0.0007,2021.97,0.0008,11,2025
31,NAGALAND,12.99,0.0006,2000.56,0.0008,11,2025
32,DADRA & NAGAR HAVELI & DAMAN & DIU,10.44,0.0005,1140.73,0.0004,11,2025
33,SIKKIM,8.71,0.0004,1125.59,0.0004,11,2025
34,ANDAMAN & NICOBAR,4.22,0.0002,662.1,0.0003,11,2025
35,LADAKH,3.3,0.0002,607.85,0.0002,11,2025
36,LAKSHADWEEP,0.64,0,68.1,0,11,2025
37,Unclassified #,8658.98,0.4231,996341.73,0.3786,11,2025
1,MAHARASHTRA,1967.07,0.1271,243220.45,0.1129,11,2024
2,KARNATAKA,1204.97,0.0778,163394.2,0.0758,11,2024
3,UTTAR PRADESH,1044.79,0.0675,145688.84,0.0676,11,2024
4,TELANGANA,938.62,0.0606,145611.57,0.0676,11,2024
5,TAMIL NADU,685.76,0.0443,104101.32,0.0483,11,2024
6,RAJASTHAN,621.05,0.0401,95807.51,0.0445,11,2024
7,ANDHRA PRADESH,588.66,0.038,100931.78,0.0468,11,2024
8,BIHAR,535.28,0.0346,78776.84,0.0366,11,2024
9,MADHYA PRADESH,534.77,0.0345,71168.69,0.033,11,2024
10,WEST BENGAL,460.4,0.0297,71880.33,0.0334,11,2024
11,GUJARAT,447.82,0.0289,65671.33,0.0305,11,2024
12,DELHI,441.99,0.0285,55291.59,0.0257,11,2024
13,ODISHA,354.18,0.0229,44116.28,0.0205,11,2024
14,HARYANA,346.02,0.0223,51552.8,0.0239,11,2024
15,KERALA,343.35,0.0222,46483.04,0.0216,11,2024
16,ASSAM,196.97,0.0127,23338.48,0.0108,11,2024
17,PUNJAB,184.09,0.0119,32257.61,0.015,11,2024
18,JHARKHAND,182.02,0.0118,24110.49,0.0112,11,2024
19,CHHATTISGARH,139.98,0.009,17873.5,0.0083,11,2024
20,UTTARAKHAND,112.61,0.0073,14691.68,0.0068,11,2024
21,JAMMU AND KASHMIR,70,0.0045,10163.69,0.0047,11,2024
22,HIMACHAL PRADESH,52.29,0.0034,6997.02,0.0032,11,2024
23,GOA,31.72,0.002,4419.48,0.0021,11,2024
24,CHANDIGARH,25.13,0.0016,3289.62,0.0015,11,2024
25,ARUNACHAL PRADESH,16.09,0.001,2166.79,0.001,11,2024
26,PUDUCHERRY,15.08,0.001,2069.73,0.001,11,2024
27,MEGHALAYA,12.36,0.0008,1769.21,0.0008,11,2024
28,TRIPURA,11.72,0.0008,1727.38,0.0008,11,2024
29,DADRA & NAGAR HAVELI & DAMAN & DIU,10.38,0.0007,1053.99,0.0005,11,2024
30,NAGALAND,10.26,0.0007,1791.99,0.0008,11,2024
31,MIZORAM,9.03,0.0006,1574.35,0.0007,11,2024
32,MANIPUR,7.88,0.0005,1952.61,0.0009,11,2024
33,SIKKIM,6.36,0.0004,908.47,0.0004,11,2024
34,ANDAMAN & NICOBAR,3.4,0.0002,564.94,0.0003,11,2024
35,LADAKH,2.79,0.0002,535.36,0.0002,11,2024
36,LAKSHADWEEP,0.45,0,51.53,0,11,2024
37,UNCLASSIFIED#,3866.68,0.2498,518182.93,0.2404,11,2024
1,MAHARASHTRA,2349.39,0.1086,263704.89,0.0943,12,2025
2,KARNATAKA,1166.38,0.0539,162279.52,0.058,12,2025
3,UTTAR PRADESH,1147.64,0.053,155131.4,0.0555,12,2025
4,TELANGANA,887.11,0.041,141323.58,0.0505,12,2025
5,TAMIL NADU,862.86,0.0399,131083.27,0.0469,12,2025
6,ANDHRA PRADESH,609.84,0.0282,102547.67,0.0367,12,2025
7,RAJASTHAN,557.06,0.0257,85129.75,0.0304,12,2025
8,GUJARAT,555.31,0.0257,86699.29,0.031,12,2025
9,DELHI,516.9,0.0239,66575.96,0.0238,12,2025
10,WEST BENGAL,478.71,0.0221,71148.03,0.0254,12,2025
11,MADHYA PRADESH,468.42,0.0217,64115.4,0.0229,12,2025
12,BIHAR,453.98,0.021,66791.87,0.0239,12,2025
13,KERALA,451.69,0.0209,62079.79,0.0222,12,2025
14,HARYANA,418.1,0.0193,61294.14,0.0219,12,2025
15,ODISHA,304.59,0.0141,39185.24,0.014,12,2025
16,PUNJAB,226.99,0.0105,40564.96,0.0145,12,2025
17,ASSAM,226.36,0.0105,24938.06,0.0089,12,2025
18,JHARKHAND,185.9,0.0086,25154.32,0.009,12,2025
19,CHHATTISGARH,145.48,0.0067,18789.15,0.0067,12,2025
