fiscal_year,month,state,district_as_per_source,district_as_per_lgd,district_lgd_code,volume,units,notes
2026-27,May,Andaman and Nicobar Islands,Nicobars,Nicobars,603.0,0.004,volume in millions,
2026-27,May,Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman,632.0,0.011,volume in millions,
2026-27,May,Andaman and Nicobar Islands,South Andaman,South Andamans,602.0,0.077,volume in millions,
2026-27,May,Andhra Pradesh,Chittoor,Chittoor,503.0,1.451,volume in millions,
2026-27,May,Andhra Pradesh,East Godavari,East Godavari,505.0,1.146,volume in millions,
2026-27,May,Andhra Pradesh,Guntur,Guntur,506.0,1.077,volume in millions,
2026-27,May,Andhra Pradesh,Krishna,Krishna,510.0,1.215,volume in millions,
2026-27,May,Andhra Pradesh,Others,,,4.766,volume in millions,
2026-27,May,Andhra Pradesh,Visakhapatnam,Visakhapatnam,520.0,1.498,volume in millions,
2026-27,May,Arunachal Pradesh,East Siang,East Siang,232.0,0.019,volume in millions,
2026-27,May,Arunachal Pradesh,Lohit,Lohit,234.0,0.027,volume in millions,
2026-27,May,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,236.0,0.025,volume in millions,
2026-27,May,Arunachal Pradesh,Others,,,0.075,volume in millions,
2026-27,May,Arunachal Pradesh,Papum Pare,Papum Pare,237.0,0.11,volume in millions,
2026-27,May,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,241.0,0.018,volume in millions,
2026-27,May,Assam,Cachar,Cachar,282.0,0.326,volume in millions,
2026-27,May,Assam,Dibrugarh,Dibrugarh,286.0,0.308,volume in millions,
2026-27,May,Assam,Kamrup,Kamrup,291.0,1.282,volume in millions,
2026-27,May,Assam,Nagaon,Nagaon,297.0,0.499,volume in millions,
2026-27,May,Assam,Others,,,3.024,volume in millions,
2026-27,May,Assam,Sonitpur,Sonitpur,301.0,0.348,volume in millions,
2026-27,May,Bihar,Muzaffarpur,Muzaffarpur,208.0,0.54,volume in millions,
2026-27,May,Bihar,Others,,,6.903,volume in millions,
2026-27,May,Bihar,Patna,Patna,212.0,1.687,volume in millions,
2026-27,May,Bihar,Saran,Saran,218.0,0.459,volume in millions,
2026-27,May,Bihar,Vaishali,Vaishali,224.0,0.46,volume in millions,
2026-27,May,Bihar,West Champaran,Pashchim Champaran,211.0,0.471,volume in millions,
2026-27,May,Chandigarh,Bastanar,,,0.0,volume in millions,
2026-27,May,Chandigarh,Chandigarh,Chandigarh,44.0,0.614,volume in millions,
2026-27,May,Chhattisgarh,Bilaspur,Bilaspur,375.0,0.486,volume in millions,
2026-27,May,Chhattisgarh,Durg,Durg,378.0,0.952,volume in millions,
2026-27,May,Chhattisgarh,Others,,,1.86,volume in millions,
2026-27,May,Chhattisgarh,Raipur,Raipur,387.0,1.24,volume in millions,
2026-27,May,Chhattisgarh,Rajnandgaon,Rajnandgaon,388.0,0.317,volume in millions,
2026-27,May,Chhattisgarh,Surguja,Surguja,389.0,0.31,volume in millions,
2026-27,May,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,465.0,0.246,volume in millions,
2026-27,May,Dadra and Nagar Haveli,Korba,,,0.0,volume in millions,
2026-27,May,Daman and Diu,Daman,Daman,463.0,0.155,volume in millions,
2026-27,May,Daman and Diu,Diu,Diu,464.0,0.014,volume in millions,
2026-27,May,Delhi,East Delhi,East Delhi,78.0,1.231,volume in millions,
2026-27,May,Delhi,North West Delhi,North West Delhi,82.0,1.416,volume in millions,
2026-27,May,Delhi,Others,,,1.652,volume in millions,
2026-27,May,Delhi,South Delhi,South Delhi,83.0,1.329,volume in millions,
2026-27,May,Delhi,South West Delhi,South West Delhi,84.0,1.482,volume in millions,
2026-27,May,Delhi,West Delhi,West Delhi,85.0,1.322,volume in millions,
2026-27,May,Goa,Moira,,,0.001,volume in millions,
2026-27,May,Goa,North Goa,North Goa,551.0,0.595,volume in millions,
2026-27,May,Goa,Panaji,,,0.001,volume in millions,
2026-27,May,Goa,Panjim,,,0.001,volume in millions,
2026-27,May,Goa,South Goa,South Goa,552.0,0.492,volume in millions,
2026-27,May,Gujarat,Ahmedabad,Ahmedabad,438.0,2.577,volume in millions,
2026-27,May,Gujarat,Others,,,6.728,volume in millions,
2026-27,May,Gujarat,Rajkot,Rajkot,457.0,0.985,volume in millions,
2026-27,May,Gujarat,Surat,Surat,459.0,2.659,volume in millions,
2026-27,May,Gujarat,Vadodara,Vadodara,461.0,1.437,volume in millions,
2026-27,May,Gujarat,Valsad,Valsad,462.0,0.681,volume in millions,
2026-27,May,Haryana,Ambala,Ambala,58.0,0.401,volume in millions,
2026-27,May,Haryana,Faridabad,Faridabad,60.0,1.13,volume in millions,
2026-27,May,Haryana,Gurgaon,Gurugram,62.0,1.711,volume in millions,
2026-27,May,Haryana,Karnal,Karnal,67.0,0.339,volume in millions,
2026-27,May,Haryana,Others,,,2.992,volume in millions,
2026-27,May,Haryana,Sonipat,Sonipat,75.0,0.375,volume in millions,
2026-27,May,Himachal Pradesh,Kangra,Kangra,18.0,0.379,volume in millions,
2026-27,May,Himachal Pradesh,Mandi,Mandi,22.0,0.143,volume in millions,
2026-27,May,Himachal Pradesh,Others,,,0.531,volume in millions,
2026-27,May,Himachal Pradesh,Shimla,Shimla,23.0,0.214,volume in millions,
2026-27,May,Himachal Pradesh,Solan,Solan,25.0,0.412,volume in millions,
2026-27,May,Himachal Pradesh,Una,Una,26.0,0.136,volume in millions,
2026-27,May,Jammu and Kashmir,Anantnag,Anantnag,1.0,0.168,volume in millions,
2026-27,May,Jammu and Kashmir,Jammu,Jammu,5.0,0.8,volume in millions,
2026-27,May,Jammu and Kashmir,Kathua,Kathua,7.0,0.163,volume in millions,
2026-27,May,Jammu and Kashmir,Others,,,0.777,volume in millions,
2026-27,May,Jammu and Kashmir,Srinagar,Srinagar,13.0,0.283,volume in millions,
2026-27,May,Jammu and Kashmir,Udhampur,Udhampur,14.0,0.183,volume in millions,
2026-27,May,Jharkhand,Bokaro,Bokaro,322.0,0.321,volume in millions,
2026-27,May,Jharkhand,Dhanbad,Dhanbad,325.0,0.521,volume in millions,
2026-27,May,Jharkhand,East Singhbhum,East Singhbum,327.0,0.719,volume in millions,
2026-27,May,Jharkhand,Others,,,1.727,volume in millions,
2026-27,May,Jharkhand,Ranchi,Ranchi,339.0,0.876,volume in millions,
2026-27,May,Jharkhand,West Singhbhum,West Singhbhum,343.0,0.234,volume in millions,
2026-27,May,Karnataka,Bangalore,,,6.771,volume in millions,
2026-27,May,Karnataka,Bangalore Rural,Bengaluru Rural,526.0,1.186,volume in millions,
2026-27,May,Karnataka,Belgaum,Belagavi,527.0,1.632,volume in millions,
2026-27,May,Karnataka,Dakshina Kannada,Dakshina Kannada,534.0,0.919,volume in millions,
2026-27,May,Karnataka,Mysore,Mysuru,545.0,1.317,volume in millions,
2026-27,May,Karnataka,Others,,,11.716,volume in millions,
2026-27,May,Kerala,Ernakulam,Ernakulam,555.0,2.218,volume in millions,
2026-27,May,Kerala,Kollam,Kollam,559.0,1.959,volume in millions,
2026-27,May,Kerala,Malappuram,Malappuram,562.0,1.813,volume in millions,
2026-27,May,Kerala,Others,,,8.505,volume in millions,
2026-27,May,Kerala,Thiruvananthapuram,Thiruvananthapuram,565.0,2.257,volume in millions,
2026-27,May,Kerala,Thrissur,Thrissur,566.0,1.634,volume in millions,
2026-27,May,Ladakh,Leh Ladakh,Leh Ladakh,9.0,0.077,volume in millions,
2026-27,May,Lakshadweep,Lakshadweep District,Lakshadweep District,553.0,0.012,volume in millions,
2026-27,May,Madhya Pradesh,Bhopal,Bhopal,396.0,0.888,volume in millions,
2026-27,May,Madhya Pradesh,Dhar,Dhar,403.0,0.336,volume in millions,
2026-27,May,Madhya Pradesh,Gwalior,Gwalior,407.0,0.471,volume in millions,
2026-27,May,Madhya Pradesh,Indore,Indore,410.0,1.429,volume in millions,
2026-27,May,Madhya Pradesh,Jabalpur,Jabalpur,411.0,0.458,volume in millions,
2026-27,May,Madhya Pradesh,Others,,,5.675,volume in millions,
2026-27,May,Maharashtra,Mumbai,Mumbai,482.0,9.331,volume in millions,
2026-27,May,Maharashtra,Nagpur,Nagpur,484.0,2.051,volume in millions,
2026-27,May,Maharashtra,Nashik,Nashik,487.0,1.488,volume in millions,
2026-27,May,Maharashtra,Others,,,13.341,volume in millions,
2026-27,May,Maharashtra,Pune,Pune,490.0,5.791,volume in millions,
2026-27,May,Maharashtra,Thane,Thane,497.0,10.414,volume in millions,
2026-27,May,Manipur,Bishnupur,Bishnupur,252.0,0.053,volume in millions,
2026-27,May,Manipur,Churachandpur,Churachandpur,254.0,0.05,volume in millions,
2026-27,May,Manipur,Imphal East,Imphal East,255.0,0.067,volume in millions,
2026-27,May,Manipur,Imphal West,Imphal West,256.0,0.231,volume in millions,
2026-27,May,Manipur,Others,,,0.055,volume in millions,
2026-27,May,Manipur,Thoubal,Thoubal,259.0,0.078,volume in millions,
2026-27,May,Meghalaya,East Jaintia Hills,East Jaintia Hills,657.0,0.064,volume in millions,
2026-27,May,Meghalaya,East Khasi Hills,East Khasi Hills,274.0,0.304,volume in millions,
2026-27,May,Meghalaya,Others,,,0.029,volume in millions,
2026-27,May,Meghalaya,Ri Bhoi,Ri Bhoi,276.0,0.036,volume in millions,
2026-27,May,Meghalaya,West Garo Hills,West Garo Hills,278.0,0.106,volume in millions,
2026-27,May,Meghalaya,West Khasi Hills,West Khasi Hills,279.0,0.033,volume in millions,
2026-27,May,Mizoram,Aizawl,Aizawl,261.0,0.217,volume in millions,
2026-27,May,Mizoram,Champhai,Champhai,262.0,0.041,volume in millions,
2026-27,May,Mizoram,Kolasib,Kolasib,263.0,0.026,volume in millions,
2026-27,May,Mizoram,Lawngtlai,Lawngtlai,264.0,0.033,volume in millions,
2026-27,May,Mizoram,Lunglei,Lunglei,265.0,0.04,volume in millions,
2026-27,May,Mizoram,Others,,,0.028,volume in millions,
2026-27,May,Nagaland,Dimapur,Dimapur,244.0,0.147,volume in millions,
2026-27,May,Nagaland,Kohima,Kohima,245.0,0.076,volume in millions,
2026-27,May,Nagaland,Mokokchung,Mokokchung,246.0,0.016,volume in millions,
2026-27,May,Nagaland,Mon,Mon,247.0,0.019,volume in millions,
2026-27,May,Nagaland,Others,,,0.028,volume in millions,
2026-27,May,Nagaland,Wokha,Wokha,250.0,0.019,volume in millions,
2026-27,May,Odisha,Baleshwar,Balasore,346.0,0.619,volume in millions,
2026-27,May,Odisha,Cuttack,Cuttack,350.0,0.729,volume in millions,
2026-27,May,Odisha,Ganjam,Ganjam,354.0,0.659,volume in millions,
2026-27,May,Odisha,Jajapur,Jajapur,356.0,0.494,volume in millions,
2026-27,May,Odisha,Jajapur,Jajpur,356.0,0.494,volume in millions,
2026-27,May,Odisha,Khordha,Khordha,362.0,1.183,volume in millions,
2026-27,May,Odisha,Others,,,5.038,volume in millions,
2026-27,May,Others,Others,Others,0.0,1.657,volume in millions,
2026-27,May,Puducherry,Karaikal,Karaikal,598.0,0.14,volume in millions,
2026-27,May,Puducherry,Mahe,Mahe,,0.003,volume in millions,
2026-27,May,Puducherry,Pondicherry,Puducherry,600.0,0.78,volume in millions,
2026-27,May,Punjab,Amritsar,Amritsar,27.0,0.833,volume in millions,
2026-27,May,Punjab,Gurdaspur,Gurdaspur,32.0,0.648,volume in millions,
2026-27,May,Punjab,Jalandhar,Jalandhar,34.0,0.845,volume in millions,
2026-27,May,Punjab,Ludhiana,Ludhiana,36.0,1.565,volume in millions,
2026-27,May,Punjab,Others,,,3.665,volume in millions,
2026-27,May,Punjab,Rupnagar,Rupnagar,42.0,0.639,volume in millions,
2026-27,May,Rajasthan,Alwar,Alwar,87.0,0.708,volume in millions,
2026-27,May,Rajasthan,Dausa,Dausa,97.0,0.428,volume in millions,
2026-27,May,Rajasthan,Jaipur,Jaipur,102.0,1.82,volume in millions,
2026-27,May,Rajasthan,Jodhpur,Jodhpur,107.0,0.53,volume in millions,
2026-27,May,Rajasthan,Others,,,4.159,volume in millions,
2026-27,May,Rajasthan,Udaipur,Udaipur,117.0,0.387,volume in millions,
2026-27,May,Sikkim,Gangtok,Gangtok,225.0,0.181,volume in millions,
2026-27,May,Sikkim,Gyalshing,Gyalshing,228.0,0.04,volume in millions,
2026-27,May,Sikkim,Mangan,Mangan,226.0,0.007,volume in millions,
2026-27,May,Sikkim,Namchi,Namchi,227.0,0.037,volume in millions,
2026-27,May,Tamil Nadu,Chennai,Chennai,568.0,2.988,volume in millions,
2026-27,May,Tamil Nadu,Coimbatore,Coimbatore,569.0,4.705,volume in millions,
2026-27,May,Tamil Nadu,Kanchipuram,Kancheepuram,574.0,4.394,volume in millions,
2026-27,May,Tamil Nadu,Others,,,28.966,volume in millions,
2026-27,May,Tamil Nadu,Tiruvallur,Thiruvallur,589.0,3.355,volume in millions,
2026-27,May,Tamil Nadu,Vellore,Vellore,595.0,2.502,volume in millions,
2026-27,May,Telangana,Hyderabad,Hyderabad,507.0,3.395,volume in millions,
2026-27,May,Telangana,Karimnagar,Karimnagar,508.0,0.651,volume in millions,
2026-27,May,Telangana,Medak,Medak,513.0,0.722,volume in millions,
2026-27,May,Telangana,Others,,,2.107,volume in millions,
2026-27,May,Telangana,Rangareddy,Ranga Reddy,518.0,1.776,volume in millions,
2026-27,May,Telangana,Warangal,Warangal,522.0,0.563,volume in millions,
2026-27,May,Tripura,Dhalai,Dhalai,269.0,0.033,volume in millions,
2026-27,May,Tripura,North Tripura,North Tripura,270.0,0.121,volume in millions,
2026-27,May,Tripura,South Tripura,South Tripura,271.0,0.099,volume in millions,
2026-27,May,Tripura,West Tripura,West Tripura,272.0,0.422,volume in millions,
2026-27,May,Uttar Pradesh,Agra,Agra,118.0,1.034,volume in millions,
2026-27,May,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,144.0,1.678,volume in millions,
2026-27,May,Uttar Pradesh,Ghaziabad,Ghaziabad,145.0,1.746,volume in millions,
2026-27,May,Uttar Pradesh,Lucknow,Lucknow,162.0,2.069,volume in millions,
2026-27,May,Uttar Pradesh,Others,,,19.765,volume in millions,
2026-27,May,Uttar Pradesh,Varanasi,Varanasi,187.0,1.132,volume in millions,
2026-27,May,Uttarakhand,Almora,Almora,45.0,0.144,volume in millions,
2026-27,May,Uttarakhand,Dehradun,Dehradun,49.0,1.021,volume in millions,
2026-27,May,Uttarakhand,Haridwar,Haridwar,50.0,0.613,volume in millions,
2026-27,May,Uttarakhand,Nainital,Nainital,51.0,0.341,volume in millions,
2026-27,May,Uttarakhand,Others,,,0.575,volume in millions,
2026-27,May,Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,56.0,0.587,volume in millions,
2026-27,May,West Bengal,Howrah,Howrah,313.0,1.256,volume in millions,
2026-27,May,West Bengal,Kolkata,Kolkata,315.0,2.633,volume in millions,
2026-27,May,West Bengal,North 24 Parganas,North 24 Parganas,303.0,2.55,volume in millions,
2026-27,May,West Bengal,Others,,,8.381,volume in millions,
2026-27,May,West Bengal,Purba Bardhaman,Purba Bardhaman,306.0,1.451,volume in millions,
2026-27,May,West Bengal,South 24 Parganas,South 24 Parganas,304.0,1.346,volume in millions,
2026-27,April,All India,,,,294.65,volume in millions,
2026-27,April,Andaman and Nicobar Islands,Nicobars,Nicobars,603.0,0.0,volume in millions,
2026-27,April,Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman,632.0,0.01,volume in millions,
2026-27,April,Andaman and Nicobar Islands,South Andaman,South Andamans,602.0,0.08,volume in millions,
2026-27,April,Andhra Pradesh,Chittoor,Chittoor,503.0,1.41,volume in millions,
2026-27,April,Andhra Pradesh,East Godavari,East Godavari,505.0,1.09,volume in millions,
2026-27,April,Andhra Pradesh,Guntur,Guntur,506.0,1.07,volume in millions,
2026-27,April,Andhra Pradesh,Krishna,Krishna,510.0,1.18,volume in millions,
2026-27,April,Andhra Pradesh,Others,,,4.59,volume in millions,
2026-27,April,Andhra Pradesh,Visakhapatnam,Visakhapatnam,520.0,1.55,volume in millions,
2026-27,April,Arunachal Pradesh,East Siang,East Siang,232.0,0.02,volume in millions,
2026-27,April,Arunachal Pradesh,Lohit,Lohit,234.0,0.03,volume in millions,
2026-27,April,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,236.0,0.02,volume in millions,
2026-27,April,Arunachal Pradesh,Others,,,0.07,volume in millions,
2026-27,April,Arunachal Pradesh,Papum Pare,Papum Pare,237.0,0.1,volume in millions,
2026-27,April,Arunachal Pradesh,West Siang,West Siang,243.0,0.02,volume in millions,
2026-27,April,Assam,Cachar,Cachar,282.0,0.33,volume in millions,
2026-27,April,Assam,Dibrugarh,Dibrugarh,286.0,0.31,volume in millions,
2026-27,April,Assam,Kamrup,Kamrup,291.0,1.22,volume in millions,
2026-27,April,Assam,Nagaon,Nagaon,297.0,0.5,volume in millions,
2026-27,April,Assam,Others,,,3.01,volume in millions,
2026-27,April,Assam,Sonitpur,Sonitpur,301.0,0.35,volume in millions,
2026-27,April,Bihar,Muzaffarpur,Muzaffarpur,208.0,0.52,volume in millions,
2026-27,April,Bihar,Others,,,6.63,volume in millions,
2026-27,April,Bihar,Patna,Patna,212.0,1.68,volume in millions,
2026-27,April,Bihar,Saran,Saran,218.0,0.41,volume in millions,
2026-27,April,Bihar,Vaishali,Vaishali,224.0,0.43,volume in millions,
2026-27,April,Bihar,West Champaran,Pashchim Champaran,211.0,0.46,volume in millions,
2026-27,April,Chandigarh,Bastanar,,,0.0,volume in millions,
2026-27,April,Chandigarh,Chandigarh,Chandigarh,44.0,0.63,volume in millions,
2026-27,April,Chhattisgarh,Bilaspur,Bilaspur,375.0,0.48,volume in millions,
2026-27,April,Chhattisgarh,Durg,Durg,378.0,0.97,volume in millions,
2026-27,April,Chhattisgarh,Others,,,1.95,volume in millions,
2026-27,April,Chhattisgarh,Raipur,Raipur,387.0,1.24,volume in millions,
2026-27,April,Chhattisgarh,Rajnandgaon,Rajnandgaon,388.0,0.35,volume in millions,
2026-27,April,Chhattisgarh,Surguja,Surguja,389.0,0.35,volume in millions,
2026-27,April,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,465.0,0.26,volume in millions,
2026-27,April,Dadra and Nagar Haveli,Korba,,,0.0,volume in millions,
2026-27,April,Daman and Diu,Daman,Daman,463.0,0.16,volume in millions,
2026-27,April,Daman and Diu,Diu,Diu,464.0,0.01,volume in millions,
2026-27,April,Delhi,East Delhi,East Delhi,78.0,1.23,volume in millions,
2026-27,April,Delhi,North West Delhi,North West Delhi,82.0,1.43,volume in millions,
2026-27,April,Delhi,Others,,,1.66,volume in millions,
2026-27,April,Delhi,South Delhi,South Delhi,83.0,1.34,volume in millions,
2026-27,April,Delhi,South West Delhi,South West Delhi,84.0,1.5,volume in millions,
2026-27,April,Delhi,West Delhi,West Delhi,85.0,1.34,volume in millions,
2026-27,April,Goa,Moira,,,0.0,volume in millions,
2026-27,April,Goa,North Goa,North Goa,551.0,0.58,volume in millions,
2026-27,April,Goa,Panaji,,,0.0,volume in millions,
2026-27,April,Goa,Panjim,,,0.0,volume in millions,
2026-27,April,Goa,South Goa,South Goa,552.0,0.49,volume in millions,
2026-27,April,Gujarat,Ahmedabad,Ahmedabad,438.0,2.6,volume in millions,
2026-27,April,Gujarat,Others,,,6.6,volume in millions,
2026-27,April,Gujarat,Rajkot,Rajkot,457.0,0.99,volume in millions,
2026-27,April,Gujarat,Surat,Surat,459.0,2.73,volume in millions,
2026-27,April,Gujarat,Vadodara,Vadodara,461.0,1.44,volume in millions,
2026-27,April,Gujarat,Valsad,Valsad,462.0,0.67,volume in millions,
2026-27,April,Haryana,Ambala,Ambala,58.0,0.39,volume in millions,
2026-27,April,Haryana,Faridabad,Faridabad,60.0,1.12,volume in millions,
2026-27,April,Haryana,Gurgaon,Gurugram,62.0,1.7,volume in millions,
2026-27,April,Haryana,Karnal,Karnal,67.0,0.31,volume in millions,
2026-27,April,Haryana,Others,,,2.84,volume in millions,
2026-27,April,Haryana,Sonipat,Sonipat,75.0,0.36,volume in millions,
2026-27,April,Himachal Pradesh,Kangra,Kangra,18.0,0.39,volume in millions,
2026-27,April,Himachal Pradesh,Mandi,Mandi,22.0,0.15,volume in millions,
2026-27,April,Himachal Pradesh,Others,,,0.54,volume in millions,
2026-27,April,Himachal Pradesh,Shimla,Shimla,23.0,0.21,volume in millions,
2026-27,April,Himachal Pradesh,Solan,Solan,25.0,0.42,volume in millions,
2026-27,April,Himachal Pradesh,Una,Una,26.0,0.14,volume in millions,
2026-27,April,Jammu and Kashmir,Anantnag,Anantnag,1.0,0.15,volume in millions,
2026-27,April,Jammu and Kashmir,Jammu,Jammu,5.0,0.82,volume in millions,
2026-27,April,Jammu and Kashmir,Kathua,Kathua,7.0,0.17,volume in millions,
2026-27,April,Jammu and Kashmir,Others,,,0.71,volume in millions,
2026-27,April,Jammu and Kashmir,Srinagar,Srinagar,13.0,0.24,volume in millions,
2026-27,April,Jammu and Kashmir,Udhampur,Udhampur,14.0,0.18,volume in millions,
2026-27,April,Jharkhand,Bokaro,Bokaro,322.0,0.33,volume in millions,
2026-27,April,Jharkhand,Dhanbad,Dhanbad,325.0,0.53,volume in millions,
2026-27,April,Jharkhand,East Singhbhum,East Singhbum,327.0,0.7,volume in millions,
2026-27,April,Jharkhand,Others,,,1.79,volume in millions,
2026-27,April,Jharkhand,Ranchi,Ranchi,339.0,0.85,volume in millions,
2026-27,April,Jharkhand,West Singhbhum,West Singhbhum,343.0,0.24,volume in millions,
2026-27,April,Karnataka,Bangalore,,,6.66,volume in millions,
2026-27,April,Karnataka,Bangalore Rural,Bengaluru Rural,526.0,1.17,volume in millions,
2026-27,April,Karnataka,Belgaum,Belagavi,527.0,1.58,volume in millions,
2026-27,April,Karnataka,Dakshina Kannada,Dakshina Kannada,534.0,0.91,volume in millions,
2026-27,April,Karnataka,Mysore,Mysuru,545.0,1.31,volume in millions,
2026-27,April,Karnataka,Others,,,11.63,volume in millions,
2026-27,April,Kerala,Ernakulam,Ernakulam,555.0,2.17,volume in millions,
2026-27,April,Kerala,Kollam,Kollam,559.0,1.89,volume in millions,
2026-27,April,Kerala,Malappuram,Malappuram,562.0,1.72,volume in millions,
2026-27,April,Kerala,Others,,,8.3,volume in millions,
2026-27,April,Kerala,Thiruvananthapuram,Thiruvananthapuram,565.0,2.2,volume in millions,
2026-27,April,Kerala,Thrissur,Thrissur,566.0,1.59,volume in millions,
2026-27,April,Ladakh,Leh Ladakh,Leh Ladakh,9.0,0.07,volume in millions,
2026-27,April,Lakshadweep,Lakshadweep District,Lakshadweep District,553.0,0.01,volume in millions,
2026-27,April,Madhya Pradesh,Bhopal,Bhopal,396.0,0.88,volume in millions,
2026-27,April,Madhya Pradesh,Dhar,Dhar,403.0,0.35,volume in millions,
2026-27,April,Madhya Pradesh,Gwalior,Gwalior,407.0,0.47,volume in millions,
2026-27,April,Madhya Pradesh,Indore,Indore,410.0,1.47,volume in millions,
2026-27,April,Madhya Pradesh,Jabalpur,Jabalpur,411.0,0.45,volume in millions,
2026-27,April,Madhya Pradesh,Others,,,5.54,volume in millions,
2026-27,April,Maharashtra,Mumbai,Mumbai,482.0,9.23,volume in millions,
2026-27,April,Maharashtra,Nagpur,Nagpur,484.0,2.03,volume in millions,
2026-27,April,Maharashtra,Nashik,Nashik,487.0,1.43,volume in millions,
2026-27,April,Maharashtra,Others,,,12.62,volume in millions,
2026-27,April,Maharashtra,Pune,Pune,490.0,5.74,volume in millions,
2026-27,April,Maharashtra,Thane,Thane,497.0,11.18,volume in millions,
2026-27,April,Manipur,Bishnupur,Bishnupur,252.0,0.04,volume in millions,
2026-27,April,Manipur,Churachandpur,Churachandpur,254.0,0.05,volume in millions,
2026-27,April,Manipur,Imphal East,Imphal East,255.0,0.07,volume in millions,
2026-27,April,Manipur,Imphal West,Imphal West,256.0,0.23,volume in millions,
2026-27,April,Manipur,Others,,,0.06,volume in millions,
2026-27,April,Manipur,Thoubal,Thoubal,259.0,0.08,volume in millions,
2026-27,April,Meghalaya,East Jaintia Hills,East Jaintia Hills,657.0,0.06,volume in millions,
2026-27,April,Meghalaya,East Khasi Hills,East Khasi Hills,274.0,0.29,volume in millions,
2026-27,April,Meghalaya,Others,,,0.03,volume in millions,
2026-27,April,Meghalaya,Ri Bhoi,Ri Bhoi,276.0,0.03,volume in millions,
2026-27,April,Meghalaya,West Garo Hills,West Garo Hills,278.0,0.09,volume in millions,
2026-27,April,Meghalaya,West Khasi Hills,West Khasi Hills,279.0,0.03,volume in millions,
2026-27,April,Mizoram,Aizawl,Aizawl,261.0,0.21,volume in millions,
2026-27,April,Mizoram,Champhai,Champhai,262.0,0.04,volume in millions,
2026-27,April,Mizoram,Kolasib,Kolasib,263.0,0.02,volume in millions,
2026-27,April,Mizoram,Lawngtlai,Lawngtlai,264.0,0.03,volume in millions,
2026-27,April,Mizoram,Lunglei,Lunglei,265.0,0.03,volume in millions,
2026-27,April,Mizoram,Others,,,0.02,volume in millions,
2026-27,April,Nagaland,Dimapur,Dimapur,244.0,0.15,volume in millions,
2026-27,April,Nagaland,Kohima,Kohima,245.0,0.09,volume in millions,
2026-27,April,Nagaland,Mokokchung,Mokokchung,246.0,0.02,volume in millions,
2026-27,April,Nagaland,Mon,Mon,247.0,0.02,volume in millions,
2026-27,April,Nagaland,Others,,,0.03,volume in millions,
2026-27,April,Nagaland,Wokha,Wokha,250.0,0.02,volume in millions,
2026-27,April,Odisha,Baleshwar,Balasore,346.0,0.59,volume in millions,
2026-27,April,Odisha,Cuttack,Cuttack,350.0,0.74,volume in millions,
2026-27,April,Odisha,Ganjam,Ganjam,354.0,0.7,volume in millions,
2026-27,April,Odisha,Jajapur,Jajapur,356.0,0.5,volume in millions,
2026-27,April,Odisha,Jajapur,Jajpur,356.0,0.5,volume in millions,
2026-27,April,Odisha,Khordha,Khordha,362.0,1.16,volume in millions,
2026-27,April,Odisha,Others,,,5.24,volume in millions,
2026-27,April,Others,Others,Others,0.0,1.5,volume in millions,
2026-27,April,Puducherry,Karaikal,Karaikal,598.0,0.12,volume in millions,
2026-27,April,Puducherry,Mahe,Mahe,,0.0,volume in millions,
2026-27,April,Puducherry,Pondicherry,Puducherry,600.0,0.69,volume in millions,
2026-27,April,Punjab,Amritsar,Amritsar,27.0,0.95,volume in millions,
2026-27,April,Punjab,Gurdaspur,Gurdaspur,32.0,0.7,volume in millions,
2026-27,April,Punjab,Jalandhar,Jalandhar,34.0,0.84,volume in millions,
2026-27,April,Punjab,Ludhiana,Ludhiana,36.0,1.57,volume in millions,
2026-27,April,Punjab,Others,,,3.74,volume in millions,
2026-27,April,Punjab,Rupnagar,Rupnagar,42.0,0.64,volume in millions,
2026-27,April,Rajasthan,Alwar,Alwar,87.0,0.66,volume in millions,
2026-27,April,Rajasthan,Jaipur,Jaipur,102.0,1.7,volume in millions,
2026-27,April,Rajasthan,Jodhpur,Jodhpur,107.0,0.54,volume in millions,
2026-27,April,Rajasthan,Kota,Kota,109.0,0.36,volume in millions,
2026-27,April,Rajasthan,Others,,,4.08,volume in millions,
2026-27,April,Rajasthan,Udaipur,Udaipur,117.0,0.39,volume in millions,
2026-27,April,Sikkim,Gangtok,Gangtok,225.0,0.17,volume in millions,
2026-27,April,Sikkim,Gyalshing,Gyalshing,228.0,0.04,volume in millions,
2026-27,April,Sikkim,Mangan,Mangan,226.0,0.01,volume in millions,
2026-27,April,Sikkim,Namchi,Namchi,227.0,0.04,volume in millions,
2026-27,April,Tamil Nadu,Chennai,Chennai,568.0,2.8,volume in millions,
2026-27,April,Tamil Nadu,Coimbatore,Coimbatore,569.0,4.22,volume in millions,
2026-27,April,Tamil Nadu,Kanchipuram,Kancheepuram,574.0,4.06,volume in millions,
